operation,data_type,thread,iteration,vec_length,buffer_size,latency,correct
MATVEC,uint32_t,1,128,512,8,36.977667,True
MATVEC,uint32_t,1,128,512,16,33.348333,True
MATVEC,uint32_t,1,128,512,32,31.767333,True
MATVEC,uint32_t,1,128,512,64,30.712333,True
MATVEC,uint32_t,1,128,512,128,30.237667,True
MATVEC,uint32_t,1,128,512,256,30.052333,True
MATVEC,uint32_t,1,128,1024,8,73.817,True
MATVEC,uint32_t,1,128,1024,16,66.543,True
MATVEC,uint32_t,1,128,1024,32,63.379,True
MATVEC,uint32_t,1,128,1024,64,61.265,True
MATVEC,uint32_t,1,128,1024,128,60.332667,True
MATVEC,uint32_t,1,128,1024,256,59.927,True
MATVEC,uint32_t,1,128,2048,8,147.476,True
MATVEC,uint32_t,1,128,2048,16,132.954,True
MATVEC,uint32_t,1,128,2048,32,126.572333,True
MATVEC,uint32_t,1,128,2048,64,122.416667,True
MATVEC,uint32_t,1,128,2048,128,120.545333,True
MATVEC,uint32_t,1,128,2048,256,119.712667,True
MATVEC,uint32_t,1,128,4096,8,294.703,True
MATVEC,uint32_t,1,128,4096,16,265.797667,True
MATVEC,uint32_t,1,128,4096,32,252.959333,True
MATVEC,uint32_t,1,128,4096,64,244.692,True
MATVEC,uint32_t,1,128,4096,128,240.915333,True
MATVEC,uint32_t,1,128,4096,256,239.336,True
MATVEC,uint32_t,1,128,8192,8,589.770333,True
MATVEC,uint32_t,1,128,8192,16,531.410667,True
MATVEC,uint32_t,1,128,8192,32,505.794333,True
MATVEC,uint32_t,1,128,8192,64,489.217,True
MATVEC,uint32_t,1,128,8192,128,481.685333,True
MATVEC,uint32_t,1,128,8192,256,478.489667,True
MATVEC,uint32_t,1,256,16,8,2.544,True
MATVEC,uint32_t,1,256,16,16,2.324,True
MATVEC,uint32_t,1,256,32,8,4.855,True
MATVEC,uint32_t,1,256,32,16,4.401,True
MATVEC,uint32_t,1,256,32,32,4.177333,True
MATVEC,uint32_t,1,256,64,8,9.466667,True
MATVEC,uint32_t,1,256,64,16,8.545,True
MATVEC,uint32_t,1,256,64,32,8.110333,True
MATVEC,uint32_t,1,256,64,64,7.885,True
MATVEC,uint32_t,1,256,128,8,18.671333,True
MATVEC,uint32_t,1,256,128,16,16.847,True
MATVEC,uint32_t,1,256,128,32,16.088333,True
MATVEC,uint32_t,1,256,128,64,15.551667,True
MATVEC,uint32_t,1,256,128,128,15.301333,True
MATVEC,uint32_t,1,256,256,8,37.081667,True
MATVEC,uint32_t,1,256,256,16,33.454,True
MATVEC,uint32_t,1,256,256,32,31.982333,True
MATVEC,uint32_t,1,256,256,64,30.809,True
MATVEC,uint32_t,1,256,256,128,30.349,True
MATVEC,uint32_t,1,256,256,256,30.125667,True
MATVEC,uint32_t,1,256,512,8,73.957667,True
MATVEC,uint32_t,1,256,512,16,66.659667,True
MATVEC,uint32_t,1,256,512,32,63.465333,True
MATVEC,uint32_t,1,256,512,64,61.397,True
MATVEC,uint32_t,1,256,512,128,60.44,True
MATVEC,uint32_t,1,256,512,256,60.075667,True
MATVEC,uint32_t,1,256,1024,8,147.637667,True
MATVEC,uint32_t,1,256,1024,16,133.070667,True
MATVEC,uint32_t,1,256,1024,32,126.655333,True
MATVEC,uint32_t,1,256,1024,64,122.518,True
MATVEC,uint32_t,1,256,1024,128,120.654,True
MATVEC,uint32_t,1,256,1024,256,119.843,True
MATVEC,uint32_t,1,256,2048,8,294.830333,True
MATVEC,uint32_t,1,256,2048,16,265.874333,True
MATVEC,uint32_t,1,256,2048,32,253.122333,True
MATVEC,uint32_t,1,256,2048,64,244.764667,True
MATVEC,uint32_t,1,256,2048,128,241.002333,True
MATVEC,uint32_t,1,256,2048,256,239.418667,True
MATVEC,uint32_t,1,256,4096,8,589.723333,True
MATVEC,uint32_t,1,256,4096,16,531.500667,True
MATVEC,uint32_t,1,256,4096,32,505.902,True
MATVEC,uint32_t,1,256,4096,64,489.312,True
MATVEC,uint32_t,1,256,4096,128,481.768,True
MATVEC,uint32_t,1,256,4096,256,478.590667,True
MATVEC,uint32_t,1,256,8192,8,1179.486667,True
MATVEC,uint32_t,1,256,8192,16,1062.710333,True
MATVEC,uint32_t,1,256,8192,32,1011.466667,True
MATVEC,uint32_t,1,256,8192,64,978.485667,True
MATVEC,uint32_t,1,256,8192,128,963.340333,True
MATVEC,uint32_t,1,256,8192,256,956.998667,True
MATVEC,uint32_t,1,512,16,8,5.064,True
MATVEC,uint32_t,1,512,16,16,4.625667,True
MATVEC,uint32_t,1,512,32,8,9.702333,True
MATVEC,uint32_t,1,512,32,16,8.775333,True
MATVEC,uint32_t,1,512,32,32,8.332333,True
MATVEC,uint32_t,1,512,64,8,18.914667,True
MATVEC,uint32_t,1,512,64,16,17.079667,True
MATVEC,uint32_t,1,512,64,32,16.188333,True
MATVEC,uint32_t,1,512,64,64,15.758,True
MATVEC,uint32_t,1,512,128,8,37.337,True
MATVEC,uint32_t,1,512,128,16,33.699,True
MATVEC,uint32_t,1,512,128,32,32.090333,True
MATVEC,uint32_t,1,512,128,64,31.284333,True
MATVEC,uint32_t,1,512,128,128,30.586333,True
MATVEC,uint32_t,1,512,256,8,74.137333,True
MATVEC,uint32_t,1,512,256,16,66.877,True
MATVEC,uint32_t,1,512,256,32,64.034,True
MATVEC,uint32_t,1,512,256,64,61.609,True
MATVEC,uint32_t,1,512,256,128,60.692,True
MATVEC,uint32_t,1,512,256,256,60.236667,True
MATVEC,uint32_t,1,512,512,8,147.850667,True
MATVEC,uint32_t,1,512,512,16,133.354333,True
MATVEC,uint32_t,1,512,512,32,127.021333,True
MATVEC,uint32_t,1,512,512,64,122.796333,True
MATVEC,uint32_t,1,512,512,128,120.885667,True
MATVEC,uint32_t,1,512,512,256,120.17,True
MATVEC,uint32_t,1,512,1024,8,295.275,True
MATVEC,uint32_t,1,512,1024,16,266.180667,True
MATVEC,uint32_t,1,512,1024,32,253.407667,True
MATVEC,uint32_t,1,512,1024,64,245.026,True
MATVEC,uint32_t,1,512,1024,128,241.264667,True
MATVEC,uint32_t,1,512,1024,256,239.690667,True
MATVEC,uint32_t,1,512,2048,8,590.076333,True
MATVEC,uint32_t,1,512,2048,16,531.634333,True
MATVEC,uint32_t,1,512,2048,32,506.221667,True
MATVEC,uint32_t,1,512,2048,64,489.596667,True
MATVEC,uint32_t,1,512,2048,128,481.979,True
MATVEC,uint32_t,1,512,2048,256,478.806667,True
MATVEC,uint32_t,1,512,4096,8,1179.483667,True
MATVEC,uint32_t,1,512,4096,16,1062.864,True
MATVEC,uint32_t,1,512,4096,32,1012.299667,True
MATVEC,uint32_t,1,512,4096,64,978.551667,True
MATVEC,uint32_t,1,512,4096,128,963.410667,True
MATVEC,uint32_t,1,512,4096,256,957.246,True
MATVEC,uint32_t,1,512,8192,8,2358.183,True
MATVEC,uint32_t,1,512,8192,16,2125.280667,True
MATVEC,uint32_t,1,512,8192,32,2023.115,True
MATVEC,uint32_t,1,512,8192,64,1956.749,True
MATVEC,uint32_t,1,512,8192,128,1926.531333,True
MATVEC,uint32_t,1,512,8192,256,1913.557,True
MATVEC,uint32_t,1,1024,16,8,10.051667,True
MATVEC,uint32_t,1,1024,16,16,9.176333,True
MATVEC,uint32_t,1,1024,32,8,19.316667,True
MATVEC,uint32_t,1,1024,32,16,17.465333,True
MATVEC,uint32_t,1,1024,32,32,16.602333,True
MATVEC,uint32_t,1,1024,64,8,37.770667,True
MATVEC,uint32_t,1,1024,64,16,34.089,True
MATVEC,uint32_t,1,1024,64,32,32.300667,True
MATVEC,uint32_t,1,1024,64,64,31.436667,True
MATVEC,uint32_t,1,1024,128,8,74.581667,True
MATVEC,uint32_t,1,1024,128,16,67.305667,True
MATVEC,uint32_t,1,1024,128,32,64.112333,True
MATVEC,uint32_t,1,1024,128,64,62.106333,True
MATVEC,uint32_t,1,1024,128,128,61.087,True
MATVEC,uint32_t,1,1024,256,8,148.234667,True
MATVEC,uint32_t,1,1024,256,16,133.733667,True
MATVEC,uint32_t,1,1024,256,32,127.908667,True
MATVEC,uint32_t,1,1024,256,64,123.151333,True
MATVEC,uint32_t,1,1024,256,128,121.304667,True
MATVEC,uint32_t,1,1024,256,256,120.391667,True
MATVEC,uint32_t,1,1024,512,8,295.498667,True
MATVEC,uint32_t,1,1024,512,16,266.504,True
MATVEC,uint32_t,1,1024,512,32,253.897,True
MATVEC,uint32_t,1,1024,512,64,245.448333,True
MATVEC,uint32_t,1,1024,512,128,241.691333,True
MATVEC,uint32_t,1,1024,512,256,240.188333,True
MATVEC,uint32_t,1,1024,1024,8,590.348667,True
MATVEC,uint32_t,1,1024,1024,16,532.211333,True
MATVEC,uint32_t,1,1024,1024,32,506.922333,True
MATVEC,uint32_t,1,1024,1024,64,489.974333,True
MATVEC,uint32_t,1,1024,1024,128,482.460333,True
MATVEC,uint32_t,1,1024,1024,256,479.211333,True
MATVEC,uint32_t,1,1024,2048,8,1179.714333,True
MATVEC,uint32_t,1,1024,2048,16,1063.495,True
MATVEC,uint32_t,1,1024,2048,32,1012.761667,True
MATVEC,uint32_t,1,1024,2048,64,979.081333,True
MATVEC,uint32_t,1,1024,2048,128,964.01,True
MATVEC,uint32_t,1,1024,2048,256,957.594,True
MATVEC,uint32_t,1,1024,4096,8,2358.15,True
MATVEC,uint32_t,1,1024,4096,16,2126.188667,True
MATVEC,uint32_t,1,1024,4096,32,2021.647667,True
MATVEC,uint32_t,1,1024,4096,64,1958.431333,True
MATVEC,uint32_t,1,1024,4096,128,1925.324333,True
MATVEC,uint32_t,1,1024,4096,256,1913.382333,True
MATVEC,uint32_t,1,1024,8192,8,4710.534,True
MATVEC,uint32_t,1,1024,8192,16,4247.768667,True
MATVEC,uint32_t,1,1024,8192,32,4052.625,True
MATVEC,uint32_t,1,1024,8192,64,3922.231667,True
MATVEC,uint32_t,1,1024,8192,128,3849.058667,True
MATVEC,uint32_t,1,1024,8192,256,3827.321,True
MATVEC,uint32_t,1,2048,16,8,20.068333,True
MATVEC,uint32_t,1,2048,16,16,18.344333,True
