operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint32_t,1,4096,64,64.102333,True
ADD,uint32_t,1,2048,256,123.321,True
ADD,uint32_t,1,8192,16,36.379333,True
ADD,uint32_t,1,8192,32,66.730333,True
ADD,uint32_t,1,4096,128,124.799333,True
ADD,uint32_t,1,16384,8,42.769333,True
ADD,uint32_t,1,8192,64,128.183,True
ADD,uint32_t,1,16384,16,72.704,True
ADD,uint32_t,1,4096,256,246.499667,True
ADD,uint32_t,1,16384,32,133.383667,True
ADD,uint32_t,1,32768,8,85.466,True
ADD,uint32_t,1,8192,128,249.545667,True
ADD,uint32_t,1,16384,64,256.261333,True
ADD,uint32_t,1,32768,16,145.316,True
ADD,uint32_t,2,256,8,0.716667,True
ADD,uint32_t,2,256,16,1.187333,True
ADD,uint32_t,2,256,32,2.139,True
ADD,uint32_t,2,256,64,4.053333,True
ADD,uint32_t,1,32768,32,266.713,True
ADD,uint32_t,1,8192,256,493.002333,True
ADD,uint32_t,2,512,8,1.380667,True
ADD,uint32_t,2,256,128,7.998333,True
ADD,uint32_t,2,256,256,15.468667,True
ADD,uint32_t,1,32768,256,NA,False
ADD,uint32_t,2,512,16,2.328,True
ADD,uint32_t,2,512,32,4.218333,True
ADD,uint32_t,1,16384,128,499.131333,True
ADD,uint32_t,2,512,64,8.089333,True
ADD,uint32_t,2,1024,8,2.724,True
ADD,uint32_t,2,1024,16,4.596333,True
ADD,uint32_t,2,512,128,15.733333,True
ADD,uint32_t,2,512,256,30.880333,True
ADD,uint32_t,2,1024,32,8.391,True
ADD,uint32_t,2,1024,64,16.077333,True
ADD,uint32_t,2,2048,8,5.396667,True
ADD,uint32_t,2,2048,16,9.145,True
ADD,uint32_t,2,1024,128,31.397,True
ADD,uint32_t,2,2048,32,16.726667,True
ADD,uint32_t,2,1024,256,61.691,True
ADD,uint32_t,1,32768,64,512.482667,True
ADD,uint32_t,2,2048,64,32.081667,True
ADD,uint32_t,2,4096,8,10.785667,True
ADD,uint32_t,2,4096,16,18.232,True
ADD,uint32_t,2,2048,128,62.821667,True
ADD,uint32_t,2,4096,32,33.397667,True
ADD,uint32_t,2,8192,8,21.412333,True
ADD,uint32_t,2,4096,64,64.113333,True
ADD,uint32_t,2,2048,256,123.308,True
ADD,uint32_t,2,8192,16,36.387,True
ADD,uint32_t,2,4096,128,126.157667,True
ADD,uint32_t,2,8192,32,66.734667,True
ADD,uint32_t,2,16384,8,42.77,True
ADD,uint32_t,2,8192,64,128.198,True
ADD,uint32_t,1,16384,256,985.953333,True
ADD,uint32_t,2,16384,16,72.748667,True
ADD,uint32_t,2,4096,256,246.532333,True
ADD,uint32_t,2,8192,128,251.617333,True
ADD,uint32_t,1,32768,128,998.040333,True
ADD,uint32_t,2,16384,32,133.41,True
ADD,uint32_t,2,32768,8,85.474667,True
ADD,uint32_t,2,16384,256,NA,False
ADD,uint32_t,2,32768,256,NA,False
ADD,uint32_t,2,16384,64,256.264333,True
ADD,uint32_t,2,32768,16,145.389333,True
ADD,uint32_t,4,256,8,0.724,True
ADD,uint32_t,2,32768,128,NA,False
ADD,uint32_t,4,256,16,1.217,True
ADD,uint32_t,4,256,32,2.147,True
ADD,uint32_t,4,256,64,4.07,True
ADD,uint32_t,4,256,128,8.012,True
ADD,uint32_t,4,512,8,1.39,True
ADD,uint32_t,4,256,256,15.485333,True
ADD,uint32_t,4,512,16,2.352,True
ADD,uint32_t,2,8192,256,493.002333,True
ADD,uint32_t,4,512,32,4.233333,True
ADD,uint32_t,4,512,64,8.081667,True
ADD,uint32_t,4,512,128,15.926,True
ADD,uint32_t,4,1024,8,2.733,True
ADD,uint32_t,4,1024,16,4.628,True
ADD,uint32_t,2,32768,32,266.721333,True
ADD,uint32_t,4,512,256,30.908333,True
ADD,uint32_t,4,1024,32,8.408333,True
ADD,uint32_t,4,2048,8,5.461333,True
ADD,uint32_t,4,1024,64,16.086667,True
ADD,uint32_t,4,2048,16,9.191667,True
ADD,uint32_t,4,1024,128,31.560667,True
ADD,uint32_t,4,2048,32,16.733333,True
ADD,uint32_t,4,4096,8,10.745667,True
ADD,uint32_t,4,1024,256,61.711,True
ADD,uint32_t,4,2048,64,32.102333,True
ADD,uint32_t,2,16384,128,499.424333,True
ADD,uint32_t,4,4096,16,18.270333,True
ADD,uint32_t,4,2048,128,63.585667,True
ADD,uint32_t,4,8192,8,21.452,True
ADD,uint32_t,4,4096,32,33.420667,True
ADD,uint32_t,4,4096,64,64.118667,True
ADD,uint32_t,4,8192,16,36.464667,True
ADD,uint32_t,2,32768,64,512.491333,True
ADD,uint32_t,4,2048,256,123.348333,True
ADD,uint32_t,4,8192,32,66.813,True
ADD,uint32_t,4,4096,128,126.589333,True
ADD,uint32_t,4,16384,8,42.836667,True
ADD,uint32_t,4,8192,256,NA,False
ADD,uint32_t,4,8192,64,128.188333,True
ADD,uint32_t,4,16384,16,72.845,True
ADD,uint32_t,4,16384,128,NA,False
ADD,uint32_t,4,16384,256,NA,False
ADD,uint32_t,4,4096,256,246.570333,True
ADD,uint32_t,4,16384,32,133.491,True
ADD,uint32_t,4,32768,8,85.631667,True
ADD,uint32_t,4,32768,256,NA,False
ADD,uint32_t,8,256,8,0.83,True
ADD,uint32_t,4,32768,64,NA,False
ADD,uint32_t,8,256,16,1.207333,True
ADD,uint32_t,8,256,32,2.204667,True
ADD,uint32_t,4,32768,128,NA,False
ADD,uint32_t,4,32768,16,145.637333,True
ADD,uint32_t,4,8192,128,251.939333,True
ADD,uint32_t,8,256,64,4.088,True
ADD,uint32_t,8,256,128,7.956667,True
ADD,uint32_t,8,512,8,1.589667,True
ADD,uint32_t,8,512,16,2.354333,True
ADD,uint32_t,8,512,32,4.268667,True
ADD,uint32_t,8,256,256,15.515333,True
ADD,uint32_t,8,512,64,8.103667,True
ADD,uint32_t,8,1024,8,3.212667,True
ADD,uint32_t,8,1024,16,4.64,True
ADD,uint32_t,8,512,128,15.694,True
ADD,uint32_t,8,1024,32,8.436333,True
ADD,uint32_t,4,16384,64,256.294333,True
ADD,uint32_t,8,1024,64,16.090333,True
ADD,uint32_t,8,512,256,30.934,True
ADD,uint32_t,8,2048,8,6.192,True
ADD,uint32_t,8,2048,16,9.227333,True
ADD,uint32_t,8,2048,32,16.806667,True
ADD,uint32_t,8,1024,128,31.331333,True
ADD,uint32_t,8,4096,8,12.284667,True
ADD,uint32_t,8,2048,64,32.113,True
ADD,uint32_t,4,32768,32,266.900333,True
ADD,uint32_t,8,4096,16,18.377333,True
ADD,uint32_t,8,1024,256,61.754333,True
ADD,uint32_t,8,4096,32,33.540333,True
ADD,uint32_t,8,2048,128,62.56,True
ADD,uint32_t,8,8192,8,24.546333,True
ADD,uint32_t,8,4096,256,NA,False
ADD,uint32_t,8,8192,16,36.656667,True
ADD,uint32_t,8,4096,64,64.143667,True
ADD,uint32_t,8,8192,128,NA,False
ADD,uint32_t,8,8192,256,NA,False
ADD,uint32_t,8,2048,256,123.394667,True
ADD,uint32_t,8,8192,32,67.075333,True
ADD,uint32_t,8,16384,8,49.041333,True
ADD,uint32_t,8,16384,256,NA,False
ADD,uint32_t,8,4096,128,126.047667,True
ADD,uint32_t,8,16384,128,NA,False
ADD,uint32_t,8,16384,16,73.251667,True
ADD,uint32_t,8,16384,64,NA,False
ADD,uint32_t,8,32768,128,NA,False
ADD,uint32_t,8,32768,256,NA,False
ADD,uint32_t,8,8192,64,128.204,True
ADD,uint32_t,16,256,8,1.39,True
ADD,uint32_t,8,32768,64,NA,False
