data_type,thread,iteration,buffer_size,latency,correct
uint32_t,1,16384,32,439.863333,True
uint32_t,2,1024,8,7.292667,True
uint32_t,2,512,128,54.368667,True
uint32_t,2,1024,16,14.099,True
uint32_t,2,1024,32,27.569667,True
uint32_t,2,2048,8,14.506,True
uint32_t,2,1024,64,54.594333,True
uint32_t,2,2048,16,28.113667,True
uint32_t,2,1024,128,108.665333,True
uint32_t,2,2048,32,55.05,True
uint32_t,2,4096,8,28.920667,True
uint32_t,1,8192,128,868.356333,True
uint32_t,2,2048,64,109.110667,True
uint32_t,2,4096,16,56.124,True
uint32_t,2,4096,32,110.072667,True
uint32_t,2,8192,8,57.750333,True
uint32_t,2,2048,128,217.195,True
uint32_t,2,8192,16,112.19,True
uint32_t,1,16384,64,872.205667,True
uint32_t,2,4096,64,218.112333,True
uint32_t,2,16384,8,115.419333,True
uint32_t,2,8192,32,220.0,True
uint32_t,2,4096,128,434.336,True
uint32_t,2,16384,16,224.273333,True
uint32_t,4,128,8,0.987333,True
uint32_t,4,128,16,1.963333,True
uint32_t,4,128,32,3.524333,True
uint32_t,4,128,64,6.880333,True
uint32_t,2,8192,64,436.098,True
uint32_t,4,128,128,13.655667,True
uint32_t,4,256,8,1.887667,True
uint32_t,4,256,16,3.589667,True
uint32_t,4,256,32,6.951333,True
uint32_t,4,256,64,13.714333,True
uint32_t,2,16384,32,439.918667,True
uint32_t,4,256,128,27.228333,True
uint32_t,4,512,8,3.693333,True
uint32_t,4,512,16,7.101333,True
uint32_t,4,512,32,13.826,True
uint32_t,4,512,64,27.342333,True
uint32_t,4,1024,8,7.299333,True
uint32_t,4,512,128,54.373667,True
uint32_t,4,1024,16,14.095333,True
uint32_t,4,1024,32,27.578667,True
uint32_t,4,2048,8,14.493667,True
uint32_t,4,1024,64,54.604333,True
uint32_t,4,2048,16,28.115667,True
uint32_t,4,1024,128,108.637,True
uint32_t,4,2048,32,55.078667,True
uint32_t,2,8192,128,868.414333,True
uint32_t,1,16384,128,1736.548667,True
uint32_t,4,4096,8,28.924667,True
uint32_t,4,2048,64,109.127667,True
uint32_t,4,4096,16,56.148667,True
uint32_t,4,8192,8,57.751,True
