operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint16_t,16,16384,256,NA,False
ADD,uint16_t,16,16384,16,139.587667,True
ADD,uint16_t,16,8192,64,249.939,True
ADD,uint16_t,16,16384,128,NA,False
ADD,uint16_t,16,32768,64,NA,False
ADD,uint16_t,16,16384,32,259.698333,True
ADD,uint16_t,16,32768,128,NA,False
ADD,uint16_t,16,32768,8,203.021333,True
ADD,uint16_t,16,4096,256,485.308333,True
ADD,uint32_t,1,256,8,1.03,True
ADD,uint16_t,16,32768,256,NA,False
ADD,uint32_t,1,256,16,1.718,True
ADD,uint32_t,1,256,32,3.07,True
ADD,uint32_t,1,256,64,5.791,True
ADD,uint32_t,1,512,8,1.997667,True
ADD,uint32_t,1,256,128,11.232667,True
ADD,uint32_t,1,256,256,22.111,True
ADD,uint32_t,1,512,16,3.374,True
ADD,uint32_t,1,512,32,6.100667,True
ADD,uint32_t,1,512,64,11.527333,True
ADD,uint32_t,1,512,128,22.411333,True
ADD,uint32_t,1,1024,8,4.103333,True
ADD,uint16_t,16,32768,16,278.962,True
ADD,uint32_t,1,512,256,44.187667,True
ADD,uint32_t,1,1024,16,6.685,True
ADD,uint16_t,16,8192,128,490.094,True
ADD,uint32_t,1,1024,32,12.144333,True
ADD,uint32_t,1,2048,8,7.866333,True
ADD,uint32_t,1,1024,64,23.029667,True
ADD,uint32_t,1,2048,16,13.362333,True
ADD,uint32_t,1,1024,128,44.789333,True
ADD,uint32_t,1,2048,32,24.242667,True
ADD,uint32_t,1,1024,256,88.302333,True
ADD,uint32_t,1,2048,64,45.990333,True
ADD,uint32_t,1,4096,8,15.662333,True
ADD,uint32_t,1,4096,16,26.619333,True
ADD,uint32_t,1,2048,128,89.548333,True
ADD,uint16_t,16,16384,64,499.833,True
ADD,uint32_t,1,4096,32,48.407,True
ADD,uint32_t,1,8192,8,31.283333,True
ADD,uint32_t,1,4096,64,91.928333,True
ADD,uint32_t,1,2048,256,176.532333,True
ADD,uint32_t,1,8192,16,53.237,True
ADD,uint32_t,1,8192,32,96.785333,True
ADD,uint32_t,1,4096,128,178.955667,True
ADD,uint32_t,1,16384,8,62.490333,True
ADD,uint16_t,16,32768,32,519.309333,True
ADD,uint32_t,1,8192,64,183.787,True
ADD,uint32_t,1,16384,16,106.609333,True
ADD,uint32_t,1,4096,256,352.990667,True
ADD,uint32_t,1,16384,32,193.475667,True
ADD,uint32_t,1,8192,128,357.796,True
ADD,uint32_t,1,32768,8,124.917,True
ADD,uint32_t,1,32768,16,212.772667,True
ADD,uint32_t,1,16384,64,367.650333,True
ADD,uint32_t,2,256,8,1.021,True
ADD,uint32_t,2,256,16,1.709333,True
ADD,uint32_t,2,256,32,3.080333,True
ADD,uint32_t,2,256,64,5.806,True
ADD,uint32_t,1,8192,256,706.164333,True
ADD,uint32_t,1,32768,32,386.971667,True
ADD,uint32_t,2,512,8,2.003,True
ADD,uint32_t,2,256,128,11.233333,True
ADD,uint32_t,2,256,256,22.132,True
ADD,uint32_t,2,512,16,3.379,True
ADD,uint32_t,2,512,32,6.096,True
ADD,uint32_t,2,512,64,11.558,True
ADD,uint32_t,1,16384,128,715.615,True
ADD,uint32_t,2,512,128,22.422,True
ADD,uint32_t,2,1024,8,3.95,True
ADD,uint32_t,2,512,256,44.202667,True
ADD,uint32_t,2,1024,16,6.715,True
ADD,uint32_t,2,1024,32,12.143,True
ADD,uint32_t,2,1024,64,23.046,True
ADD,uint32_t,2,2048,8,7.85,True
ADD,uint32_t,2,1024,128,44.789,True
ADD,uint32_t,2,2048,16,13.364667,True
ADD,uint32_t,2,1024,256,88.345667,True
ADD,uint32_t,2,2048,32,24.245,True
ADD,uint32_t,2,2048,64,46.005333,True
ADD,uint32_t,1,32768,64,735.090667,True
ADD,uint32_t,2,4096,8,15.672667,True
ADD,uint32_t,2,2048,128,89.524667,True
ADD,uint32_t,2,4096,16,26.672667,True
ADD,uint32_t,2,4096,32,48.425333,True
ADD,uint32_t,2,4096,64,91.956667,True
ADD,uint32_t,2,8192,8,31.285667,True
ADD,uint32_t,2,2048,256,176.609667,True
ADD,uint32_t,2,8192,16,53.371,True
ADD,uint32_t,2,4096,128,178.946333,True
ADD,uint32_t,2,8192,32,96.782,True
ADD,uint32_t,2,8192,64,183.821667,True
ADD,uint32_t,2,16384,8,62.512333,True
ADD,uint32_t,1,16384,256,1411.957667,True
ADD,uint32_t,2,4096,256,353.126333,True
ADD,uint32_t,2,16384,16,106.607333,True
ADD,uint32_t,1,32768,128,1431.039333,True
ADD,uint32_t,2,8192,128,357.849,True
ADD,uint32_t,2,16384,32,193.509333,True
ADD,uint32_t,2,32768,8,124.961,True
ADD,uint32_t,2,16384,64,367.656,True
ADD,uint32_t,2,32768,16,213.053333,True
ADD,uint32_t,2,8192,256,706.118667,True
ADD,uint32_t,4,256,8,1.032667,True
ADD,uint32_t,2,32768,32,386.958667,True
ADD,uint32_t,2,32768,256,NA,False
ADD,uint32_t,4,256,16,1.835667,True
ADD,uint32_t,4,256,32,3.092333,True
ADD,uint32_t,4,256,64,5.815,True
ADD,uint32_t,4,256,128,11.256667,True
ADD,uint32_t,4,512,8,2.009667,True
ADD,uint32_t,4,256,256,22.151,True
ADD,uint32_t,4,512,16,3.400333,True
ADD,uint32_t,2,16384,128,715.606,True
ADD,uint32_t,4,512,32,6.116333,True
ADD,uint32_t,4,512,64,11.549,True
ADD,uint32_t,4,1024,8,3.978,True
ADD,uint32_t,4,512,128,22.440333,True
ADD,uint32_t,4,1024,16,6.750667,True
ADD,uint32_t,4,512,256,44.233667,True
ADD,uint32_t,4,1024,32,12.166,True
ADD,uint32_t,4,1024,64,23.055667,True
ADD,uint32_t,4,2048,8,7.890667,True
ADD,uint32_t,4,1024,128,44.799,True
ADD,uint32_t,4,2048,16,13.452333,True
ADD,uint32_t,4,2048,32,24.27,True
ADD,uint32_t,4,1024,256,88.398667,True
ADD,uint32_t,4,2048,64,46.051,True
ADD,uint32_t,4,4096,8,15.803667,True
ADD,uint32_t,2,32768,64,735.082333,True
ADD,uint32_t,4,2048,128,89.555667,True
ADD,uint32_t,4,4096,16,26.806667,True
ADD,uint32_t,4,4096,32,48.480333,True
ADD,uint32_t,4,2048,256,176.630333,True
ADD,uint32_t,4,4096,64,92.009667,True
ADD,uint32_t,4,8192,8,31.522,True
ADD,uint32_t,4,8192,16,53.458,True
ADD,uint32_t,4,4096,128,178.959333,True
ADD,uint32_t,4,8192,32,96.890667,True
ADD,uint32_t,1,32768,256,2823.948667,True
ADD,uint32_t,4,16384,8,62.963333,True
ADD,uint32_t,4,8192,64,183.983333,True
ADD,uint32_t,2,16384,256,1412.096333,True
ADD,uint32_t,4,4096,256,353.111,True
ADD,uint32_t,4,16384,16,106.874,True
ADD,uint32_t,4,16384,256,NA,False
ADD,uint32_t,4,16384,32,193.714333,True
ADD,uint32_t,4,32768,8,125.890667,True
ADD,uint32_t,4,8192,128,357.849667,True
ADD,uint32_t,2,32768,128,1431.066667,True
ADD,uint32_t,4,32768,256,NA,False
ADD,uint32_t,8,256,8,1.128,True
ADD,uint32_t,8,256,16,1.755,True
ADD,uint32_t,4,32768,128,NA,False
ADD,uint32_t,8,256,32,3.179,True
ADD,uint32_t,4,16384,64,367.864333,True
ADD,uint32_t,8,256,64,5.834333,True
ADD,uint32_t,4,32768,16,213.937333,True
ADD,uint32_t,8,256,128,11.288333,True
ADD,uint32_t,8,512,8,2.173,True
ADD,uint32_t,8,512,16,3.448667,True
ADD,uint32_t,8,256,256,22.191,True
ADD,uint32_t,8,512,32,6.274667,True
ADD,uint32_t,8,512,64,11.604667,True
ADD,uint32_t,8,512,128,22.474,True
ADD,uint32_t,8,1024,8,4.292,True
ADD,uint32_t,8,1024,16,6.849667,True
ADD,uint32_t,8,512,256,44.275667,True
ADD,uint32_t,8,1024,32,12.492667,True
ADD,uint32_t,8,1024,64,23.134667,True
ADD,uint32_t,8,2048,8,8.531667,True
ADD,uint32_t,4,8192,256,706.155333,True
ADD,uint32_t,4,32768,32,387.338,True
ADD,uint32_t,8,2048,16,13.651333,True
ADD,uint32_t,8,1024,128,44.840667,True
ADD,uint32_t,8,2048,32,24.936,True
ADD,uint32_t,8,4096,8,17.008,True
ADD,uint32_t,8,2048,64,46.164333,True
ADD,uint32_t,8,1024,256,88.449667,True
ADD,uint32_t,8,4096,16,27.233667,True
