operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,8,1024,32,11.861333,11.926225,0.55
ADD,uint16_t,8,1024,64,22.453667,22.467057,0.06
ADD,uint16_t,8,2048,8,7.988667,7.802495,-2.33
ADD,uint16_t,8,1024,128,43.656667,43.824743,0.38
ADD,uint16_t,8,2048,16,13.281667,13.006810,-2.07
ADD,uint16_t,8,2048,32,23.661333,23.776629,0.49
ADD,uint16_t,4,32768,64,715.100000,716.389445,0.18
ADD,uint16_t,8,1024,256,86.122333,86.624247,0.58
ADD,uint16_t,8,2048,64,44.830333,44.854674,0.05
ADD,uint16_t,8,4096,8,15.933000,15.530973,-2.52
ADD,uint16_t,8,4096,16,26.502333,25.938209,-2.13
ADD,uint16_t,8,2048,128,87.261000,87.566662,0.35
ADD,uint16_t,8,4096,32,47.289667,47.477438,0.40
ADD,uint16_t,8,8192,8,31.799333,30.987905,-2.55
ADD,uint16_t,8,4096,64,89.615667,89.629907,0.02
ADD,uint16_t,8,2048,256,172.097667,173.157419,0.62
ADD,uint16_t,8,8192,16,52.925333,51.801008,-2.12
ADD,uint16_t,2,32768,256,2750.599667,2768.954910,0.67
ADD,uint16_t,8,4096,128,174.360000,175.050500,0.40
ADD,uint16_t,8,8192,32,94.469667,94.879054,0.43
ADD,uint16_t,4,16384,256,1375.386000,1384.541274,0.67
ADD,uint16_t,8,16384,8,63.551667,61.901818,-2.60
ADD,uint16_t,8,8192,64,179.096000,179.180373,0.05
ADD,uint16_t,8,16384,16,105.824667,103.526614,-2.17
ADD,uint16_t,8,4096,256,344.114333,346.223762,0.61
ADD,uint16_t,8,16384,32,188.838667,189.682287,0.45
ADD,uint16_t,8,32768,8,127.041333,123.729545,-2.61
ADD,uint16_t,8,8192,128,348.656000,350.018176,0.39
ADD,uint16_t,4,32768,128,1393.922667,1399.650265,0.41
ADD,uint16_t,16,256,8,1.816667,1.583671,-12.83
ADD,uint16_t,8,16384,64,358.080333,358.281305,0.06
ADD,uint16_t,16,256,16,2.252333,2.276669,1.08
ADD,uint16_t,8,32768,16,211.548000,206.977802,-2.16
ADD,uint16_t,16,256,32,4.132667,4.011813,-2.92
ADD,uint16_t,16,256,64,7.883333,7.722351,-2.04
ADD,uint16_t,16,256,128,15.396000,15.159039,-1.54
ADD,uint16_t,16,512,8,3.346667,3.087020,-7.76
ADD,uint16_t,16,512,16,4.427333,4.459910,0.74
ADD,uint16_t,16,256,256,30.437333,30.061870,-1.23
ADD,uint16_t,16,512,32,8.183333,7.917190,-3.25
ADD,uint16_t,16,512,64,15.696000,15.332006,-2.32
ADD,uint16_t,16,512,128,30.710333,30.188842,-1.70
ADD,uint16_t,16,1024,8,6.417667,6.093718,-5.05
ADD,uint16_t,16,1024,16,8.781667,8.826392,0.51
ADD,uint16_t,16,512,256,60.739667,59.880320,-1.41
ADD,uint16_t,16,1024,32,16.301333,15.727944,-3.52
ADD,uint16_t,8,8192,256,688.113000,692.356449,0.62
ADD,uint16_t,16,1024,64,31.325000,30.551315,-2.47
ADD,uint16_t,8,32768,32,377.698667,379.288754,0.42
ADD,uint16_t,16,2048,8,12.761333,12.106545,-5.13
ADD,uint16_t,16,2048,16,17.496000,17.558838,0.36
ADD,uint16_t,16,1024,128,61.331000,60.248447,-1.77
ADD,uint16_t,16,2048,32,32.526000,31.349375,-3.62
ADD,uint16_t,16,4096,8,25.451000,24.131954,-5.18
ADD,uint16_t,16,2048,64,62.552667,60.989937,-2.50
ADD,uint16_t,16,4096,16,34.940333,35.022681,0.24
ADD,uint16_t,16,1024,256,121.413000,119.517222,-1.56
ADD,uint16_t,8,16384,128,697.179667,699.953529,0.40
ADD,uint16_t,16,2048,128,122.603333,120.367661,-1.82
ADD,uint16_t,16,4096,32,64.983000,62.592200,-3.68
ADD,uint16_t,16,8192,8,50.817333,48.185539,-5.18
ADD,uint16_t,16,4096,64,125.013667,121.867174,-2.52
ADD,uint16_t,16,8192,16,69.794000,69.954279,0.23
ADD,uint16_t,16,2048,256,242.668000,238.791027,-1.60
ADD,uint16_t,8,32768,64,716.148000,716.483169,0.05
ADD,uint16_t,16,8192,32,129.913000,125.078233,-3.72
ADD,uint16_t,16,4096,128,245.115667,240.606083,-1.84
ADD,uint16_t,16,16384,8,101.582333,96.292708,-5.21
ADD,uint16_t,16,16384,16,139.587667,139.817992,0.17
ADD,uint16_t,16,8192,64,249.939000,243.621648,-2.53
ADD,uint16_t,16,16384,32,259.698333,250.050299,-3.72
ADD,uint16_t,16,32768,8,203.021333,192.507046,-5.18
ADD,uint16_t,16,4096,256,485.308333,477.338632,-1.64
ADD,uint32_t,1,256,8,1.030000,1.014401,-1.51
ADD,uint32_t,1,256,16,1.718000,1.710355,-0.44
ADD,uint32_t,1,256,32,3.070000,3.067375,-0.09
ADD,uint32_t,1,256,64,5.791000,5.791068,0.00
ADD,uint32_t,1,512,8,1.997667,1.962406,-1.77
ADD,uint32_t,1,256,128,11.232667,11.239626,0.06
ADD,uint32_t,1,256,256,22.111000,22.169290,0.26
ADD,uint32_t,1,512,16,3.374000,3.354314,-0.58
ADD,uint32_t,1,512,32,6.100667,6.068353,-0.53
ADD,uint32_t,1,512,64,11.527333,11.515740,-0.10
ADD,uint32_t,1,512,128,22.411333,22.412856,0.01
ADD,uint32_t,1,1024,8,4.103333,3.858415,-5.97
ADD,uint16_t,16,32768,16,278.962000,279.545418,0.21
ADD,uint32_t,1,512,256,44.187667,44.272184,0.19
ADD,uint32_t,1,1024,16,6.685000,6.642232,-0.64
ADD,uint16_t,16,8192,128,490.094000,481.082926,-1.84
ADD,uint32_t,1,1024,32,12.144333,12.070310,-0.61
ADD,uint32_t,1,2048,8,7.866333,7.650433,-2.74
ADD,uint32_t,1,1024,64,23.029667,22.965084,-0.28
ADD,uint32_t,1,2048,16,13.362333,13.218067,-1.08
ADD,uint32_t,1,1024,128,44.789333,44.759315,-0.07
ADD,uint32_t,1,2048,32,24.242667,24.074223,-0.69
ADD,uint32_t,1,1024,256,88.302333,88.477971,0.20
ADD,uint32_t,1,2048,64,45.990333,45.863772,-0.28
ADD,uint32_t,1,4096,8,15.662333,15.234470,-2.73
ADD,uint32_t,1,4096,16,26.619333,26.369738,-0.94
ADD,uint32_t,1,2048,128,89.548333,89.452234,-0.11
ADD,uint16_t,16,16384,64,499.833000,487.130598,-2.54
ADD,uint32_t,1,4096,32,48.407000,48.082049,-0.67
ADD,uint32_t,1,8192,8,31.283333,30.402543,-2.82
ADD,uint32_t,1,4096,64,91.928333,91.661148,-0.29
ADD,uint32_t,1,2048,256,176.532333,176.889546,0.20
ADD,uint32_t,1,8192,16,53.237000,52.673080,-1.06
ADD,uint32_t,1,8192,32,96.785333,96.097702,-0.71
ADD,uint32_t,1,4096,128,178.955667,178.838072,-0.07
ADD,uint32_t,1,16384,8,62.490333,60.738689,-2.80
ADD,uint16_t,16,32768,32,519.309333,499.994430,-3.72
ADD,uint32_t,1,8192,64,183.787000,183.255900,-0.29
ADD,uint32_t,1,16384,16,106.609333,105.279763,-1.25
ADD,uint32_t,1,4096,256,352.990667,353.712696,0.20
ADD,uint32_t,1,16384,32,193.475667,192.129007,-0.70
ADD,uint32_t,1,8192,128,357.796000,357.609747,-0.05
ADD,uint32_t,1,32768,8,124.917000,121.410982,-2.81
ADD,uint32_t,1,32768,16,212.772667,210.493130,-1.07
ADD,uint32_t,1,16384,64,367.650333,366.445404,-0.33
ADD,uint32_t,2,256,8,1.021000,1.015430,-0.55
ADD,uint32_t,2,256,16,1.709333,1.711444,0.12
ADD,uint32_t,2,256,32,3.080333,3.088933,0.28
ADD,uint32_t,2,256,64,5.806000,5.852762,0.81
ADD,uint32_t,1,8192,256,706.164333,707.358995,0.17
ADD,uint32_t,1,32768,32,386.971667,384.191617,-0.72
ADD,uint32_t,2,512,8,2.003000,1.963434,-1.98
ADD,uint32_t,2,256,128,11.233333,11.401685,1.50
ADD,uint32_t,2,256,256,22.132000,22.340886,0.94
ADD,uint32_t,2,512,16,3.379000,3.355403,-0.70
ADD,uint32_t,2,512,32,6.096000,6.110172,0.23
ADD,uint32_t,2,512,64,11.558000,11.637649,0.69
ADD,uint32_t,1,16384,128,715.615000,715.153098,-0.06
ADD,uint32_t,2,512,128,22.422000,22.735098,1.40
ADD,uint32_t,2,1024,8,3.950000,3.859444,-2.29
ADD,uint32_t,2,512,256,44.202667,44.612667,0.93
