operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint32_t,1,256,128,10.132667,10.161118,0.28
ADD,uint16_t,16,4096,128,220.011000,217.145819,-1.30
ADD,uint32_t,1,512,8,1.745667,1.736743,-0.51
ADD,uint16_t,16,16384,16,123.148333,130.391443,5.88
ADD,uint32_t,1,256,256,20.027333,20.060930,0.17
ADD,uint32_t,1,512,16,2.985000,2.999920,0.50
ADD,uint32_t,1,512,32,5.443667,5.456496,0.24
ADD,uint32_t,1,512,64,10.374333,10.388958,0.14
ADD,uint32_t,1,1024,8,3.437000,3.407472,-0.86
ADD,uint32_t,1,512,128,20.243000,20.256222,0.07
ADD,uint32_t,1,1024,16,5.947333,5.933826,-0.23
ADD,uint32_t,1,1024,32,10.843000,10.846978,0.04
ADD,uint32_t,1,512,256,39.998000,40.055847,0.14
ADD,uint32_t,1,1024,64,20.700667,20.711902,0.05
ADD,uint32_t,1,2048,8,6.819000,6.748930,-1.03
ADD,uint32_t,1,2048,16,11.798667,11.801639,0.03
ADD,uint16_t,16,8192,64,223.757000,219.379751,-1.96
ADD,uint32_t,1,1024,128,40.442333,40.446430,0.01
ADD,uint32_t,1,2048,32,21.651333,21.627943,-0.11
ADD,uint32_t,1,1024,256,79.898333,80.045680,0.18
ADD,uint32_t,1,4096,8,13.596667,13.431847,-1.21
ADD,uint32_t,1,2048,64,41.344000,41.357790,0.03
ADD,uint32_t,1,4096,16,23.549667,23.537264,-0.05
ADD,uint32_t,1,2048,128,80.778000,80.826846,0.06
ADD,uint32_t,1,4096,32,43.235333,43.189872,-0.11
ADD,uint16_t,16,16384,32,231.192667,227.838333,-1.45
ADD,uint32_t,1,8192,8,27.149667,26.797680,-1.30
ADD,uint32_t,1,4096,64,82.607333,82.649566,0.05
ADD,uint32_t,1,8192,16,47.033333,47.008514,-0.05
ADD,uint32_t,1,2048,256,159.813667,160.025346,0.13
ADD,uint32_t,1,8192,32,86.434000,86.313730,-0.14
ADD,uint32_t,1,4096,128,161.492667,161.587678,0.06
ADD,uint32_t,1,16384,8,54.238000,53.529346,-1.31
ADD,uint32_t,1,16384,16,94.028000,93.951015,-0.08
ADD,uint32_t,1,8192,64,165.162667,165.233118,0.04
ADD,uint32_t,2,256,8,0.902000,0.926120,2.67
ADD,uint32_t,1,4096,256,319.482000,319.984679,0.16
ADD,uint32_t,2,256,16,1.552667,1.554857,0.14
ADD,uint32_t,1,16384,32,172.728667,172.561447,-0.10
ADD,uint32_t,2,256,32,2.752667,2.846502,3.41
ADD,uint32_t,2,256,64,5.276000,5.389345,2.15
ADD,uint32_t,1,8192,128,322.927667,323.109342,0.06
ADD,uint32_t,2,256,128,10.159667,10.525531,3.60
ADD,uint32_t,2,512,8,1.784333,1.786061,0.10
ADD,uint32_t,2,256,256,20.036333,20.446954,2.05
ADD,uint32_t,2,512,16,3.057000,3.043504,-0.44
ADD,uint32_t,2,512,32,5.455333,5.626699,3.14
ADD,uint32_t,2,512,64,10.446000,10.712371,2.55
ADD,uint32_t,2,1024,8,3.487000,3.505942,0.54
ADD,uint32_t,2,512,128,20.246667,20.984740,3.65
ADD,uint32_t,2,1024,16,6.060000,6.020799,-0.65
ADD,uint32_t,1,16384,64,330.364667,330.400222,0.01
ADD,uint32_t,2,512,256,40.014667,40.827188,2.03
ADD,uint32_t,2,1024,32,10.858333,11.187092,3.03
ADD,uint32_t,2,1024,64,20.754667,21.358423,2.91
ADD,uint32_t,2,2048,8,6.990333,6.945704,-0.64
ADD,uint32_t,2,2048,16,12.060667,11.975388,-0.71
ADD,uint32_t,2,1024,128,40.438000,41.903158,3.62
ADD,uint32_t,2,2048,32,21.654333,22.307878,3.02
ADD,uint32_t,2,1024,256,79.925667,81.587654,2.08
ADD,uint32_t,2,2048,64,41.386000,42.650529,3.06
ADD,uint32_t,2,4096,8,13.931667,13.825229,-0.76
ADD,uint32_t,2,4096,16,24.080333,23.884566,-0.81
ADD,uint32_t,2,2048,128,80.819000,83.739995,3.61
ADD,uint32_t,1,8192,256,638.914333,639.903344,0.15
ADD,uint32_t,2,4096,32,43.260333,44.549451,2.98
ADD,uint32_t,2,8192,8,27.387667,27.584278,0.72
ADD,uint32_t,2,4096,64,82.689667,85.234739,3.08
ADD,uint32_t,2,2048,256,159.794333,163.108586,2.07
ADD,uint32_t,1,16384,128,645.773667,646.152670,0.06
ADD,uint32_t,2,8192,16,47.756333,47.702923,-0.11
ADD,uint32_t,2,8192,32,86.435000,89.032596,3.01
ADD,uint32_t,2,16384,8,54.939000,55.102376,0.30
ADD,uint32_t,2,4096,128,161.542667,167.413668,3.63
ADD,uint32_t,2,8192,64,165.286667,170.403159,3.10
ADD,uint32_t,2,16384,16,96.144333,95.339637,-0.84
ADD,uint32_t,2,4096,256,319.498667,326.150452,2.08
ADD,uint32_t,2,16384,32,172.807333,177.998886,3.00
ADD,uint32_t,4,256,8,0.956667,0.960127,0.36
ADD,uint32_t,4,256,16,1.551333,1.629324,5.03
ADD,uint32_t,4,256,32,2.767667,2.850848,3.01
ADD,uint32_t,4,256,64,5.288333,5.395813,2.03
ADD,uint32_t,2,8192,128,323.012333,334.761014,3.64
ADD,uint32_t,4,256,128,10.173333,10.535342,3.56
ADD,uint32_t,4,512,16,3.056667,3.190870,4.39
