operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,128,64,32,4.066000,4.083859,0.44
MATVEC,uint32_t,1,128,64,64,3.959000,3.975502,0.42
MATVEC,uint32_t,1,128,128,8,9.352667,9.241906,-1.18
MATVEC,uint32_t,1,128,128,16,8.441667,8.452329,0.13
MATVEC,uint32_t,1,128,128,32,8.048000,8.003292,-0.56
MATVEC,uint32_t,1,128,128,64,7.795000,7.787122,-0.10
MATVEC,uint32_t,1,128,128,128,7.666000,7.678824,0.17
MATVEC,uint32_t,1,128,256,8,18.552333,18.316301,-1.27
MATVEC,uint32_t,1,128,256,16,16.734667,16.739122,0.03
MATVEC,uint32_t,1,128,256,32,16.005333,15.842158,-1.02
MATVEC,uint32_t,1,128,256,64,15.419000,15.410364,-0.06
MATVEC,uint32_t,1,128,256,128,15.195000,15.194034,-0.01
MATVEC,uint32_t,1,128,256,256,15.191000,15.097363,-0.62
MATVEC,uint32_t,1,128,512,8,36.977667,36.465092,-1.39
MATVEC,uint32_t,1,128,512,16,33.348333,33.312708,-0.11
MATVEC,uint32_t,1,128,512,32,31.767333,31.519891,-0.78
MATVEC,uint32_t,1,128,512,64,30.712333,30.656846,-0.18
MATVEC,uint32_t,1,128,512,128,30.237667,30.224452,-0.04
MATVEC,uint32_t,1,128,512,256,30.052333,30.031013,-0.07
MATVEC,uint32_t,1,128,1024,8,73.817000,72.762674,-1.43
MATVEC,uint32_t,1,128,1024,16,66.543000,66.459881,-0.12
MATVEC,uint32_t,1,128,1024,32,63.379000,62.875356,-0.79
MATVEC,uint32_t,1,128,1024,64,61.265000,61.149810,-0.19
MATVEC,uint32_t,1,128,1024,128,60.332667,60.285288,-0.08
MATVEC,uint32_t,1,128,1024,256,59.927000,59.898314,-0.05
MATVEC,uint32_t,1,128,2048,8,147.476000,145.357837,-1.44
MATVEC,uint32_t,1,128,2048,16,132.954000,132.754226,-0.15
MATVEC,uint32_t,1,128,2048,32,126.572333,125.586286,-0.78
MATVEC,uint32_t,1,128,2048,64,122.416667,122.135740,-0.23
MATVEC,uint32_t,1,128,2048,128,120.545333,120.406962,-0.11
MATVEC,uint32_t,1,128,2048,256,119.712667,119.632915,-0.07
MATVEC,uint32_t,1,128,4096,8,294.703000,290.548164,-1.41
MATVEC,uint32_t,1,128,4096,16,265.797667,265.342916,-0.17
MATVEC,uint32_t,1,128,4096,32,252.959333,251.008147,-0.77
MATVEC,uint32_t,1,128,4096,64,244.692000,244.107598,-0.24
MATVEC,uint32_t,1,128,4096,128,240.915333,240.650308,-0.11
MATVEC,uint32_t,1,128,4096,256,239.336000,239.102117,-0.10
MATVEC,uint32_t,1,128,8192,8,589.770333,580.928818,-1.50
MATVEC,uint32_t,1,128,8192,16,531.410667,530.520297,-0.17
MATVEC,uint32_t,1,128,8192,32,505.794333,501.851868,-0.78
MATVEC,uint32_t,1,128,8192,64,489.217000,488.051314,-0.24
MATVEC,uint32_t,1,128,8192,128,481.685333,481.137000,-0.11
MATVEC,uint32_t,1,128,8192,256,478.489667,478.040522,-0.09
MATVEC,uint32_t,1,256,16,8,2.544000,2.537609,-0.25
MATVEC,uint32_t,1,256,16,16,2.324000,2.336758,0.55
MATVEC,uint32_t,1,256,32,8,4.855000,4.806208,-1.00
MATVEC,uint32_t,1,256,32,16,4.401000,4.408457,0.17
MATVEC,uint32_t,1,256,32,32,4.177333,4.182274,0.12
MATVEC,uint32_t,1,256,64,8,9.466667,9.343405,-1.30
MATVEC,uint32_t,1,256,64,16,8.545000,8.551853,0.08
MATVEC,uint32_t,1,256,64,32,8.110333,8.101707,-0.11
MATVEC,uint32_t,1,256,64,64,7.885000,7.884993,-0.00
MATVEC,uint32_t,1,256,128,8,18.671333,18.417801,-1.36
MATVEC,uint32_t,1,256,128,16,16.847000,16.838646,-0.05
MATVEC,uint32_t,1,256,128,32,16.088333,15.940573,-0.92
MATVEC,uint32_t,1,256,128,64,15.551667,15.508234,-0.28
MATVEC,uint32_t,1,256,128,128,15.301333,15.291638,-0.06
MATVEC,uint32_t,1,256,256,8,37.081667,36.566592,-1.39
MATVEC,uint32_t,1,256,256,16,33.454000,33.412233,-0.12
MATVEC,uint32_t,1,256,256,32,31.982333,31.618306,-1.14
MATVEC,uint32_t,1,256,256,64,30.809000,30.754716,-0.18
MATVEC,uint32_t,1,256,256,128,30.349000,30.322306,-0.09
MATVEC,uint32_t,1,256,256,256,30.125667,30.128293,0.01
MATVEC,uint32_t,1,256,512,8,73.957667,72.864173,-1.48
MATVEC,uint32_t,1,256,512,16,66.659667,66.559405,-0.15
MATVEC,uint32_t,1,256,512,32,63.465333,62.973771,-0.77
