operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,16,256,512,128,1144.240333,1075.478829,-6.01
MATMUL,uint32_t,1,16,256,512,256,1139.834667,1072.293376,-5.93
MATMUL,uint32_t,1,16,256,512,64,1153.985000,1082.638875,-6.18
MATMUL,uint32_t,1,16,256,512,32,1171.911333,1097.182491,-6.38
MATMUL,uint32_t,1,16,512,64,8,324.780333,296.692324,-8.65
MATMUL,uint32_t,1,16,512,64,16,302.372000,281.997120,-6.74
MATMUL,uint32_t,1,16,512,64,32,292.769667,274.201344,-6.34
MATMUL,uint32_t,1,16,512,64,64,288.430667,270.570802,-6.19
MATMUL,uint32_t,1,16,512,64,4,379.059333,334.005604,-11.89
MATMUL,uint32_t,1,16,512,128,16,604.718000,563.925714,-6.75
MATMUL,uint32_t,1,16,512,128,8,649.489667,593.316123,-8.65
MATMUL,uint32_t,1,16,512,128,4,758.420000,667.942683,-11.93
MATMUL,uint32_t,1,16,512,128,64,576.767000,541.073078,-6.19
MATMUL,uint32_t,1,16,512,128,128,571.896000,537.498317,-6.01
MATMUL,uint32_t,1,16,512,128,32,585.489667,548.334162,-6.35
MATMUL,uint32_t,1,16,512,256,8,1298.801000,1186.563721,-8.64
MATMUL,uint32_t,1,16,512,256,4,1515.217333,1335.816841,-11.84
MATMUL,uint32_t,1,16,512,256,32,1171.253333,1096.599798,-6.37
MATMUL,uint32_t,1,16,512,256,16,1209.501333,1127.782902,-6.76
MATMUL,uint32_t,1,16,512,256,64,1153.470000,1082.077632,-6.19
MATMUL,uint32_t,1,16,512,256,128,1143.782333,1074.928109,-6.02
MATMUL,uint32_t,1,16,512,256,256,1139.389667,1071.747291,-5.94
MATMUL,uint32_t,1,32,16,16,4,6.202667,5.394596,-13.03
MATMUL,uint32_t,1,32,16,16,8,5.274333,4.791222,-9.16
MATMUL,uint32_t,1,32,16,16,16,4.878667,4.552009,-6.70
MATMUL,uint32_t,1,32,16,32,4,12.366667,10.718153,-13.33
MATMUL,uint32_t,1,32,16,32,8,10.492667,9.511405,-9.35
MATMUL,uint32_t,1,32,16,32,16,9.716333,9.032978,-7.03
MATMUL,uint32_t,1,32,16,64,4,24.660333,21.365266,-13.36
MATMUL,uint32_t,1,32,16,64,8,20.917000,18.951771,-9.40
MATMUL,uint32_t,1,32,16,64,16,19.350333,17.994916,-7.00
MATMUL,uint32_t,1,32,16,128,4,49.268667,42.659492,-13.41
MATMUL,uint32_t,1,32,16,128,8,41.744333,37.832502,-9.37
MATMUL,uint32_t,1,32,16,128,16,38.631667,35.918793,-7.02
MATMUL,uint32_t,1,32,16,256,4,98.453000,85.247945,-13.41
MATMUL,uint32_t,1,32,16,256,8,83.420667,75.593965,-9.38
MATMUL,uint32_t,1,32,16,256,16,77.188333,71.766546,-7.02
MATMUL,uint32_t,1,32,16,512,4,196.739667,170.424850,-13.38
MATMUL,uint32_t,1,32,16,512,8,166.737000,151.116891,-9.37
MATMUL,uint32_t,1,16,512,512,4,3032.264333,2671.565156,-11.90
MATMUL,uint32_t,1,32,32,16,4,12.097667,10.608950,-12.31
MATMUL,uint32_t,1,32,32,16,8,10.345667,9.423213,-8.92
MATMUL,uint32_t,1,32,16,512,16,154.345667,143.462052,-7.05
MATMUL,uint32_t,1,32,32,16,16,9.600333,8.954697,-6.73
MATMUL,uint32_t,1,16,512,512,64,2306.881667,2164.086738,-6.19
MATMUL,uint32_t,1,32,32,32,8,20.644000,18.775387,-9.05
MATMUL,uint32_t,1,32,32,32,4,24.179333,21.146861,-12.54
MATMUL,uint32_t,1,16,512,512,32,2341.788333,2193.131072,-6.35
MATMUL,uint32_t,1,16,512,512,8,2597.615667,2373.058916,-8.64
MATMUL,uint32_t,1,16,512,512,128,2287.223667,2149.787693,-6.01
MATMUL,uint32_t,1,16,512,512,16,2418.231333,2255.497280,-6.73
MATMUL,uint32_t,1,32,32,32,16,19.168000,17.838354,-6.94
MATMUL,uint32_t,1,32,32,32,32,18.506000,17.340909,-6.30
MATMUL,uint32_t,1,32,32,64,8,41.180333,37.479734,-8.99
MATMUL,uint32_t,1,32,32,64,4,48.234000,42.222683,-12.46
MATMUL,uint32_t,1,32,32,64,16,38.245667,35.605668,-6.90
MATMUL,uint32_t,1,32,32,64,32,36.940000,34.610779,-6.31
MATMUL,uint32_t,1,16,512,512,256,2279.020000,2143.426057,-5.95
MATMUL,uint32_t,1,32,32,128,8,82.268333,74.888429,-8.97
MATMUL,uint32_t,1,32,32,128,16,76.435333,71.140297,-6.93
MATMUL,uint32_t,1,32,32,128,4,96.422667,84.374326,-12.50
MATMUL,uint32_t,1,32,32,128,32,73.819000,69.150518,-6.32
MATMUL,uint32_t,1,32,32,256,16,152.711000,142.209554,-6.88
MATMUL,uint32_t,1,32,32,256,8,164.504667,149.705819,-9.00
MATMUL,uint32_t,1,32,32,256,4,192.720333,168.677613,-12.48
MATMUL,uint32_t,1,32,32,256,32,147.555333,138.229997,-6.32
MATMUL,uint32_t,1,32,64,16,4,23.975333,21.037659,-12.25
MATMUL,uint32_t,1,32,64,16,8,20.482000,18.687195,-8.76
MATMUL,uint32_t,1,32,64,16,16,19.048333,17.760073,-6.76
MATMUL,uint32_t,1,32,64,32,4,47.895667,42.004278,-12.30
MATMUL,uint32_t,1,32,64,32,16,38.053333,35.449106,-6.84
MATMUL,uint32_t,1,32,64,32,8,40.906000,37.303350,-8.81
MATMUL,uint32_t,1,32,64,32,32,36.812000,34.465106,-6.38
MATMUL,uint32_t,1,32,32,512,16,305.374000,284.348068,-6.89
MATMUL,uint32_t,1,32,32,512,32,295.038333,276.388955,-6.32
MATMUL,uint32_t,1,32,32,512,8,328.968333,299.340598,-9.01
MATMUL,uint32_t,1,32,64,64,4,95.786667,83.937517,-12.37
MATMUL,uint32_t,1,32,32,512,4,385.140000,337.284187,-12.43
MATMUL,uint32_t,1,32,64,64,16,76.004333,70.827172,-6.81
MATMUL,uint32_t,1,32,64,64,8,81.737667,74.535661,-8.81
MATMUL,uint32_t,1,32,64,64,32,73.520000,68.859172,-6.34
MATMUL,uint32_t,1,32,64,64,64,72.380333,67.942153,-6.13
MATMUL,uint32_t,1,32,64,128,8,163.398333,149.000283,-8.81
MATMUL,uint32_t,1,32,64,128,4,191.446000,167.803995,-12.35
MATMUL,uint32_t,1,32,64,128,16,151.951667,141.583305,-6.82
MATMUL,uint32_t,1,32,64,128,32,146.992000,137.647305,-6.36
MATMUL,uint32_t,1,32,64,128,64,144.687667,135.813266,-6.13
MATMUL,uint32_t,1,32,64,256,8,326.714000,297.929526,-8.81
MATMUL,uint32_t,1,32,64,256,16,303.775000,283.095570,-6.81
MATMUL,uint32_t,1,32,64,256,4,382.244333,335.536950,-12.22
MATMUL,uint32_t,1,32,64,256,32,293.926667,275.223570,-6.36
MATMUL,uint32_t,1,32,64,256,64,289.297000,271.555492,-6.13
MATMUL,uint32_t,1,32,128,16,4,47.626333,41.895076,-12.03
MATMUL,uint32_t,1,32,128,16,8,40.760667,37.215158,-8.70
MATMUL,uint32_t,1,32,128,16,16,37.941333,35.370825,-6.77
MATMUL,uint32_t,1,32,128,32,4,95.185333,83.719113,-12.05
MATMUL,uint32_t,1,32,128,32,8,81.476333,74.359277,-8.74
MATMUL,uint32_t,1,32,128,32,16,75.794667,70.670610,-6.76
MATMUL,uint32_t,1,32,128,32,32,73.369000,68.713499,-6.35
MATMUL,uint32_t,1,32,64,512,16,607.444333,566.120100,-6.80
MATMUL,uint32_t,1,32,64,512,8,653.348000,595.788013,-8.81
MATMUL,uint32_t,1,32,128,64,8,162.876333,148.647515,-8.74
MATMUL,uint32_t,1,32,128,64,4,190.369667,167.367186,-12.08
MATMUL,uint32_t,1,32,64,512,4,764.722333,671.002861,-12.26
MATMUL,uint32_t,1,32,64,512,32,587.701667,550.376100,-6.35
MATMUL,uint32_t,1,32,128,64,16,151.554667,141.270180,-6.79
MATMUL,uint32_t,1,32,64,512,64,578.506333,543.039945,-6.13
MATMUL,uint32_t,1,32,128,64,32,146.701667,137.355958,-6.37
MATMUL,uint32_t,1,32,128,64,64,144.443333,135.532644,-6.17
MATMUL,uint32_t,1,32,128,128,16,303.013000,282.469321,-6.78
MATMUL,uint32_t,1,32,128,128,8,325.706667,297.223990,-8.74
MATMUL,uint32_t,1,32,128,128,32,293.281667,274.640877,-6.36
MATMUL,uint32_t,1,32,128,128,128,286.340333,269.198976,-5.99
MATMUL,uint32_t,1,32,128,128,64,288.791667,270.994249,-6.16
MATMUL,uint32_t,1,32,128,128,4,380.587000,334.663332,-12.07
MATMUL,uint32_t,1,32,128,256,8,651.196000,594.376941,-8.73
MATMUL,uint32_t,1,32,128,256,4,760.885667,669.255625,-12.04
MATMUL,uint32_t,1,32,128,256,32,586.425333,549.210715,-6.35
MATMUL,uint32_t,1,32,128,256,64,577.512333,541.917458,-6.16
MATMUL,uint32_t,1,32,128,256,128,572.674000,538.326912,-6.00
MATMUL,uint32_t,1,32,128,256,16,606.050667,564.867602,-6.80
MATMUL,uint32_t,1,32,256,16,8,81.314333,74.271085,-8.66
MATMUL,uint32_t,1,32,256,16,4,94.969667,83.609910,-11.96
MATMUL,uint32_t,1,32,256,16,16,75.698667,70.592329,-6.75
MATMUL,uint32_t,1,32,256,32,4,189.792000,167.148781,-11.93
MATMUL,uint32_t,1,32,256,32,8,162.529333,148.471131,-8.65
MATMUL,uint32_t,1,32,256,32,16,151.337333,141.113618,-6.76
MATMUL,uint32_t,1,32,256,32,32,146.499000,137.210285,-6.34
MATMUL,uint32_t,1,32,128,512,8,1302.181667,1188.682843,-8.72
MATMUL,uint32_t,1,32,128,512,4,1524.667667,1338.440210,-12.21
MATMUL,uint32_t,1,32,256,64,4,379.325667,334.226523,-11.89
MATMUL,uint32_t,1,32,128,512,16,1211.739333,1129.664164,-6.77
MATMUL,uint32_t,1,32,256,64,8,325.104667,296.871222,-8.68
MATMUL,uint32_t,1,32,128,512,32,1172.703667,1098.350390,-6.34
MATMUL,uint32_t,1,32,256,64,16,302.649333,282.156196,-6.77
MATMUL,uint32_t,1,32,128,512,128,1145.318333,1076.582784,-6.00
MATMUL,uint32_t,1,32,128,512,64,1155.010333,1083.763876,-6.17
MATMUL,uint32_t,1,32,256,64,32,292.932667,274.349531,-6.34
MATMUL,uint32_t,1,32,256,64,64,288.530333,270.713627,-6.17
MATMUL,uint32_t,1,32,256,128,32,585.933000,548.628022,-6.37
MATMUL,uint32_t,1,32,256,128,16,605.098000,564.241353,-6.75
MATMUL,uint32_t,1,32,256,128,8,650.043333,593.671405,-8.67
MATMUL,uint32_t,1,32,256,128,64,577.029000,541.356214,-6.18
MATMUL,uint32_t,1,32,256,128,128,572.176000,537.776192,-6.01
MATMUL,uint32_t,1,32,256,128,4,759.061000,668.382006,-11.95
MATMUL,uint32_t,1,32,256,256,8,1299.887333,1187.271771,-8.66
MATMUL,uint32_t,1,32,256,256,4,1518.115667,1336.692973,-11.95
MATMUL,uint32_t,1,32,256,256,32,1171.319333,1097.185005,-6.33
MATMUL,uint32_t,1,32,256,256,64,1153.979667,1082.641389,-6.18
MATMUL,uint32_t,1,32,256,256,256,1140.040000,1072.295890,-5.94
MATMUL,uint32_t,1,32,256,256,16,1210.039000,1128.411666,-6.75
MATMUL,uint32_t,1,32,256,256,128,1144.170333,1075.481344,-6.00
MATMUL,uint32_t,1,32,512,16,4,189.970333,167.039579,-12.07
MATMUL,uint32_t,1,32,512,16,8,162.440000,148.382939,-8.65
MATMUL,uint32_t,1,32,512,16,16,151.221333,141.035337,-6.74
MATMUL,uint32_t,1,32,512,32,4,379.595333,334.008118,-12.01
MATMUL,uint32_t,1,32,512,32,8,324.765000,296.694838,-8.64
MATMUL,uint32_t,1,32,512,32,16,302.352000,281.999634,-6.73
MATMUL,uint32_t,1,32,256,512,4,3035.394667,2673.314907,-11.93
MATMUL,uint32_t,1,32,512,32,32,292.763667,274.203858,-6.34
MATMUL,uint32_t,1,32,256,512,16,2419.914667,2256.752292,-6.74
MATMUL,uint32_t,1,32,256,512,256,2279.530333,2144.520740,-5.92
MATMUL,uint32_t,1,32,256,512,128,2288.527333,2150.891648,-6.01
MATMUL,uint32_t,1,32,256,512,64,2307.866667,2165.211739,-6.18
MATMUL,uint32_t,1,32,256,512,32,2343.078333,2194.298971,-6.35
MATMUL,uint32_t,1,32,256,512,8,2600.208000,2374.472502,-8.68
MATMUL,uint32_t,1,32,512,64,4,757.887333,667.945197,-11.87
MATMUL,uint32_t,1,32,512,64,8,649.301667,593.318637,-8.62
MATMUL,uint32_t,1,32,512,64,32,585.687667,548.336676,-6.38
MATMUL,uint32_t,1,32,512,64,16,604.616333,563.928228,-6.73
MATMUL,uint32_t,1,32,512,64,64,576.776000,541.075593,-6.19
MATMUL,uint32_t,1,32,512,128,16,1209.432333,1127.785417,-6.75
MATMUL,uint32_t,1,32,512,128,8,1298.807000,1186.566235,-8.64
MATMUL,uint32_t,1,32,512,128,4,1515.764333,1335.819355,-11.87
MATMUL,uint32_t,1,32,512,128,32,1171.333667,1096.602313,-6.38
MATMUL,uint32_t,1,32,512,128,64,1153.483667,1082.080146,-6.19
MATMUL,uint32_t,1,32,512,128,128,1143.731000,1074.930624,-6.02
MATMUL,uint32_t,1,32,512,256,8,2597.793667,2373.061430,-8.65
MATMUL,uint32_t,1,32,512,256,4,3032.034333,2671.567670,-11.89
MATMUL,uint32_t,1,32,512,256,16,2418.877000,2255.499794,-6.75
MATMUL,uint32_t,1,32,512,256,32,2341.329333,2193.133586,-6.33
MATMUL,uint32_t,1,32,512,256,64,2306.892667,2164.089252,-6.19
MATMUL,uint32_t,1,32,512,256,128,2287.238333,2149.790208,-6.01
MATMUL,uint32_t,1,32,512,256,256,2278.397333,2143.428571,-5.92
MATMUL,uint32_t,1,64,16,16,4,12.359333,10.723181,-13.24
MATMUL,uint32_t,1,64,16,16,8,10.492333,9.516434,-9.30
MATMUL,uint32_t,1,64,16,16,16,9.724000,9.038006,-7.05
MATMUL,uint32_t,1,64,16,32,4,24.669333,21.370294,-13.37
MATMUL,uint32_t,1,64,16,32,8,20.926000,18.956800,-9.41
MATMUL,uint32_t,1,64,16,32,16,19.368667,17.999945,-7.07
MATMUL,uint32_t,1,64,16,64,4,49.278333,42.664521,-13.42
MATMUL,uint32_t,1,64,16,64,8,41.771667,37.837531,-9.42
MATMUL,uint32_t,1,64,16,64,16,38.660333,35.923821,-7.08
MATMUL,uint32_t,1,64,16,128,4,98.487000,85.252973,-13.44
MATMUL,uint32_t,1,64,16,128,8,83.438000,75.598994,-9.40
MATMUL,uint32_t,1,64,16,128,16,77.216000,71.771574,-7.05
MATMUL,uint32_t,1,64,16,256,4,196.795000,170.429878,-13.40
MATMUL,uint32_t,1,64,16,256,8,166.822333,151.121920,-9.41
MATMUL,uint32_t,1,64,16,256,16,154.342667,143.467081,-7.05
MATMUL,uint32_t,1,64,16,512,4,393.680333,340.783689,-13.44
