operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,16,1024,64,31.325000,30.187989,-3.63
ADD,uint16_t,8,32768,32,377.698667,365.681913,-3.18
ADD,uint16_t,16,2048,8,12.761333,12.106023,-5.14
ADD,uint16_t,16,2048,16,17.496000,17.282254,-1.22
ADD,uint16_t,16,1024,128,61.331000,59.986414,-2.19
ADD,uint16_t,16,2048,32,32.526000,30.464010,-6.34
ADD,uint16_t,16,4096,8,25.451000,24.131838,-5.18
ADD,uint16_t,16,2048,64,62.552667,60.269589,-3.65
ADD,uint16_t,16,4096,16,34.940333,34.474408,-1.33
ADD,uint16_t,16,1024,256,121.413000,119.372501,-1.68
ADD,uint16_t,8,16384,128,697.179667,696.333267,-0.12
ADD,uint16_t,16,2048,128,122.603333,119.854960,-2.24
ADD,uint16_t,16,4096,32,64.983000,60.825396,-6.40
ADD,uint16_t,16,8192,8,50.817333,48.185422,-5.18
ADD,uint16_t,16,4096,64,125.013667,120.432784,-3.66
ADD,uint16_t,16,8192,16,69.794000,68.863347,-1.33
ADD,uint16_t,16,2048,256,242.668000,238.570119,-1.69
ADD,uint16_t,8,32768,64,716.148000,709.262617,-0.96
ADD,uint16_t,16,8192,32,129.913000,121.548167,-6.44
ADD,uint16_t,16,4096,128,245.115667,239.592046,-2.25
ADD,uint16_t,16,16384,8,101.582333,96.292591,-5.21
ADD,uint16_t,16,16384,16,139.587667,137.641463,-1.39
ADD,uint16_t,16,8192,64,249.939000,240.759175,-3.67
ADD,uint16_t,16,16384,32,259.698333,242.994150,-6.43
ADD,uint16_t,16,32768,8,203.021333,192.506929,-5.18
ADD,uint16_t,16,4096,256,485.308333,476.965351,-1.72
ADD,uint32_t,1,256,8,1.030000,0.925898,-10.11
ADD,uint32_t,1,256,16,1.718000,1.621852,-5.60
ADD,uint32_t,1,256,32,3.070000,2.978872,-2.97
ADD,uint32_t,1,256,64,5.791000,5.702566,-1.53
ADD,uint32_t,1,512,8,1.997667,1.785400,-10.63
ADD,uint32_t,1,256,128,11.232667,11.151123,-0.73
ADD,uint32_t,1,256,256,22.111000,22.080787,-0.14
ADD,uint32_t,1,512,16,3.374000,3.177308,-5.83
ADD,uint32_t,1,512,32,6.100667,5.891347,-3.43
ADD,uint32_t,1,512,64,11.527333,11.338735,-1.64
ADD,uint32_t,1,512,128,22.411333,22.235850,-0.78
ADD,uint32_t,1,1024,8,4.103333,3.504403,-14.60
ADD,uint16_t,16,32768,16,278.962000,275.197695,-1.35
ADD,uint32_t,1,512,256,44.187667,44.095178,-0.21
ADD,uint32_t,1,1024,16,6.685000,6.288220,-5.94
ADD,uint16_t,16,8192,128,490.094000,479.066218,-2.25
ADD,uint32_t,1,1024,32,12.144333,11.716298,-3.52
ADD,uint32_t,1,2048,8,7.866333,6.942410,-11.75
ADD,uint32_t,1,1024,64,23.029667,22.611073,-1.82
ADD,uint32_t,1,2048,16,13.362333,12.510044,-6.38
ADD,uint32_t,1,1024,128,44.789333,44.405304,-0.86
ADD,uint32_t,1,2048,32,24.242667,23.366200,-3.62
ADD,uint32_t,1,1024,256,88.302333,88.123960,-0.20
ADD,uint32_t,1,2048,64,45.990333,45.155750,-1.81
ADD,uint32_t,1,4096,8,15.662333,13.818424,-11.77
ADD,uint32_t,1,4096,16,26.619333,24.953692,-6.26
ADD,uint32_t,1,2048,128,89.548333,88.744211,-0.90
ADD,uint16_t,16,16384,64,499.833000,481.411956,-3.69
ADD,uint32_t,1,4096,32,48.407000,46.666003,-3.60
ADD,uint32_t,1,8192,8,31.283333,27.570451,-11.87
ADD,uint32_t,1,4096,64,91.928333,90.245103,-1.83
ADD,uint32_t,1,2048,256,176.532333,176.181523,-0.20
ADD,uint32_t,1,8192,16,53.237000,49.840988,-6.38
ADD,uint32_t,1,8192,32,96.785333,93.265610,-3.64
ADD,uint32_t,1,4096,128,178.955667,177.422026,-0.86
ADD,uint32_t,1,16384,8,62.490333,55.074506,-11.87
ADD,uint16_t,16,32768,32,519.309333,485.886312,-6.44
ADD,uint32_t,1,8192,64,183.787000,180.423809,-1.83
ADD,uint32_t,1,16384,16,106.609333,99.615580,-6.56
ADD,uint32_t,1,4096,256,352.990667,352.296650,-0.20
ADD,uint32_t,1,16384,32,193.475667,186.464824,-3.62
ADD,uint32_t,1,8192,128,357.796000,354.777656,-0.84
ADD,uint32_t,1,32768,8,124.917000,110.082616,-11.88
ADD,uint32_t,1,32768,16,212.772667,199.164764,-6.40
ADD,uint32_t,1,16384,64,367.650333,360.781222,-1.87
ADD,uint32_t,2,256,8,1.021000,0.940548,-7.88
ADD,uint32_t,2,256,16,1.709333,1.635805,-4.30
ADD,uint32_t,2,256,32,3.080333,3.032484,-1.55
ADD,uint32_t,2,256,64,5.806000,5.796313,-0.17
ADD,uint32_t,1,8192,256,706.164333,704.526904,-0.23
ADD,uint32_t,1,32768,32,386.971667,372.863251,-3.65
ADD,uint32_t,2,512,8,2.003000,1.813728,-9.45
ADD,uint32_t,2,256,128,11.233333,11.345236,1.00
ADD,uint32_t,2,256,256,22.132000,22.284438,0.69
ADD,uint32_t,2,512,16,3.379000,3.204178,-5.17
ADD,uint32_t,2,512,32,6.096000,5.997403,-1.62
ADD,uint32_t,2,512,64,11.558000,11.524880,-0.29
ADD,uint32_t,1,16384,128,715.615000,709.488915,-0.86
ADD,uint32_t,2,512,128,22.422000,22.622329,0.89
ADD,uint32_t,2,1024,8,3.950000,3.560087,-9.87
ADD,uint32_t,2,512,256,44.202667,44.499898,0.67
ADD,uint32_t,2,1024,16,6.715000,6.340924,-5.57
ADD,uint32_t,2,1024,32,12.143000,11.927241,-1.78
ADD,uint32_t,2,1024,64,23.046000,22.982014,-0.28
ADD,uint32_t,2,2048,8,7.850000,7.052804,-10.16
ADD,uint32_t,2,1024,128,44.789000,45.176514,0.87
ADD,uint32_t,2,2048,16,13.364667,12.614416,-5.61
ADD,uint32_t,2,1024,256,88.345667,88.930819,0.66
ADD,uint32_t,2,2048,32,24.245000,23.786916,-1.89
ADD,uint32_t,2,2048,64,46.005333,45.896281,-0.24
ADD,uint32_t,1,32768,64,735.090667,721.496047,-1.85
ADD,uint32_t,2,4096,8,15.672667,14.038240,-10.43
ADD,uint32_t,2,2048,128,89.524667,90.284884,0.85
ADD,uint32_t,2,4096,16,26.672667,25.161400,-5.67
ADD,uint32_t,2,4096,32,48.425333,47.506267,-1.90
ADD,uint32_t,2,4096,64,91.956667,91.724816,-0.25
ADD,uint32_t,2,8192,8,31.285667,28.009111,-10.47
ADD,uint32_t,2,2048,256,176.609667,177.792662,0.67
ADD,uint32_t,2,8192,16,53.371000,50.255368,-5.84
ADD,uint32_t,2,4096,128,178.946333,180.501625,0.87
ADD,uint32_t,2,8192,32,96.782000,94.944969,-1.90
ADD,uint32_t,2,8192,64,183.821667,183.381886,-0.24
ADD,uint32_t,2,16384,8,62.512333,55.950852,-10.50
ADD,uint32_t,1,16384,256,1411.957667,1408.987411,-0.21
ADD,uint32_t,2,4096,256,353.126333,355.516346,0.68
ADD,uint32_t,2,16384,16,106.607333,100.443305,-5.78
ADD,uint32_t,1,32768,128,1431.039333,1418.911434,-0.85
ADD,uint32_t,2,8192,128,357.849000,360.935106,0.86
ADD,uint32_t,2,16384,32,193.509333,189.822372,-1.91
ADD,uint32_t,2,32768,8,124.961000,111.834336,-10.50
ADD,uint32_t,2,16384,64,367.656000,366.696025,-0.26
ADD,uint32_t,2,32768,16,213.053333,200.819179,-5.74
ADD,uint32_t,2,8192,256,706.118667,710.963715,0.69
ADD,uint32_t,4,256,8,1.032667,0.943070,-8.68
