data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,16,256,256,19.877000,19.608231,-1.35
uint16_t,16,512,32,5.487333,5.270518,-3.95
uint16_t,16,512,64,10.364000,10.117819,-2.38
uint16_t,16,1024,8,5.797333,6.079981,4.88
uint16_t,16,1024,16,6.605667,7.503068,13.59
uint16_t,16,1024,32,10.902000,10.446280,-4.18
uint16_t,16,512,128,20.138333,19.793647,-1.71
uint16_t,8,8192,128,229.150000,232.196137,1.33
uint16_t,16,512,256,39.668000,39.115743,-1.39
uint16_t,16,1024,64,20.659000,20.143061,-2.50
uint16_t,16,2048,8,11.523667,12.092279,4.93
uint16_t,16,2048,16,13.171667,14.936401,13.40
uint16_t,16,1024,128,40.202667,39.487568,-1.78
uint16_t,16,2048,32,21.721333,20.797805,-4.25
uint16_t,8,16384,64,238.315667,236.202112,-0.89
uint16_t,16,4096,8,22.979000,24.117726,4.96
uint16_t,16,2048,64,41.234333,40.193349,-2.52
uint16_t,16,1024,256,79.218333,78.130765,-1.37
uint16_t,16,4096,16,26.251000,29.802837,13.53
uint16_t,16,4096,32,43.354667,41.500851,-4.28
uint16_t,16,2048,128,80.273667,78.875413,-1.74
uint16_t,16,8192,8,45.888333,48.171310,4.98
uint16_t,16,8192,16,52.396667,59.541201,13.64
uint16_t,16,4096,64,82.375333,80.293519,-2.53
uint16_t,16,2048,256,158.310333,156.160813,-1.36
uint16_t,16,8192,32,86.625667,82.906942,-4.29
uint16_t,16,16384,8,91.705333,96.278479,4.99
uint16_t,16,4096,128,160.461333,157.651097,-1.75
uint32_t,1,256,16,1.083000,1.069534,-1.24
uint32_t,1,256,8,0.673000,0.681365,1.24
uint32_t,1,256,32,1.815333,1.824514,0.51
uint32_t,1,256,64,3.340667,3.339961,-0.02
uint16_t,16,16384,16,104.718333,119.017930,13.66
uint32_t,1,256,128,6.367333,6.372245,0.08
uint32_t,1,512,8,1.309333,1.296716,-0.96
uint32_t,1,256,256,12.439667,12.458096,0.15
uint32_t,1,512,16,2.111000,2.073054,-1.80
uint32_t,1,512,32,3.596000,3.583015,-0.36
uint32_t,1,512,64,6.625000,6.613909,-0.17
uint16_t,16,8192,64,164.679667,160.493861,-2.54
uint32_t,1,1024,8,2.571333,2.527417,-1.71
uint32_t,1,512,128,12.697333,12.678476,-0.15
uint32_t,1,1024,16,4.061333,4.080094,0.46
uint32_t,1,1024,32,7.159333,7.100016,-0.83
uint32_t,1,512,256,24.830000,24.850178,0.08
uint32_t,1,1024,64,13.225000,13.161804,-0.48
uint32_t,1,2048,8,5.089000,4.988821,-1.97
uint32_t,1,2048,16,8.064333,8.094174,0.37
uint32_t,1,1024,128,25.339000,25.290937,-0.19
uint32_t,1,2048,32,14.233333,14.134018,-0.70
uint16_t,16,16384,32,173.119667,165.719476,-4.27
uint32_t,1,2048,64,26.372333,26.257593,-0.44
uint32_t,1,1024,256,49.582333,49.634343,0.10
uint32_t,1,4096,8,10.115000,9.911628,-2.01
uint32_t,1,4096,16,16.080667,16.122334,0.26
uint32_t,1,2048,128,50.599333,50.515861,-0.16
uint32_t,1,4096,32,28.428667,28.202023,-0.80
uint32_t,1,8192,8,20.179000,19.757241,-2.09
uint32_t,1,4096,64,52.675333,52.449173,-0.43
uint32_t,1,8192,16,32.113667,32.178654,0.20
uint32_t,1,2048,256,99.119667,99.202672,0.08
uint32_t,1,8192,32,56.782667,56.338032,-0.78
uint32_t,1,4096,128,101.174333,100.965708,-0.21
uint32_t,1,16384,8,40.358000,39.448469,-2.25
uint32_t,1,8192,64,105.270000,104.832332,-0.42
uint32_t,1,16384,16,64.176333,64.291294,0.18
uint32_t,1,4096,256,198.133667,198.339330,0.10
uint32_t,2,256,8,0.710000,0.719308,1.31
uint32_t,2,256,16,1.057333,1.106710,4.67
uint32_t,2,256,32,1.857667,1.901217,2.34
uint32_t,1,16384,32,113.508333,112.610050,-0.79
uint32_t,1,8192,128,202.247667,201.865401,-0.19
uint32_t,2,256,64,3.338333,3.456618,3.54
uint32_t,2,256,128,6.379000,6.588870,3.29
uint32_t,2,256,256,12.461667,12.788654,2.62
uint32_t,2,512,8,1.341000,1.372473,2.35
