data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint32_t,2,16384,32,113.862667,112.876998,-0.87
uint32_t,4,256,8,0.717667,0.657157,-8.43
uint32_t,2,8192,128,202.227667,206.476449,2.10
uint32_t,4,256,16,1.092000,1.036580,-5.08
uint32_t,4,256,32,1.876667,1.831571,-2.40
uint32_t,4,256,64,3.349000,3.388085,1.17
uint32_t,4,512,8,1.391000,1.246412,-10.39
uint32_t,4,256,128,6.389667,6.522718,2.08
uint32_t,4,512,16,2.113667,2.004746,-5.15
uint32_t,1,16384,256,792.429333,789.554800,-0.36
uint32_t,4,256,256,12.466333,12.979435,4.12
uint32_t,4,512,32,3.676333,3.594575,-2.22
uint32_t,4,512,64,6.645667,6.706473,0.91
uint32_t,4,1024,8,2.719333,2.424804,-10.83
uint32_t,2,16384,64,210.489333,212.422671,0.92
uint32_t,4,512,128,12.720333,12.973306,1.99
uint32_t,4,1024,16,4.172667,3.941071,-5.55
uint32_t,4,512,256,24.861333,25.888565,4.13
uint32_t,4,1024,32,7.260667,7.120576,-1.93
uint32_t,4,1024,64,13.225000,13.343244,0.89
uint32_t,4,2048,8,5.374667,4.781635,-11.03
uint32_t,4,2048,16,8.388000,7.813722,-6.85
uint32_t,4,1024,128,25.365000,25.874476,2.01
uint32_t,4,2048,32,14.421333,14.172578,-1.72
uint32_t,2,8192,256,396.353333,403.598997,1.83
uint32_t,4,1024,256,49.641333,51.706754,4.16
uint32_t,4,2048,64,26.374000,26.616785,0.92
uint32_t,4,4096,8,10.709000,9.495819,-11.33
uint32_t,4,4096,16,16.557667,15.559024,-6.03
uint32_t,4,2048,128,50.653000,51.676817,2.02
uint32_t,4,4096,32,28.788000,28.276583,-1.78
uint32_t,4,8192,8,21.378667,18.924188,-11.48
uint32_t,4,4096,64,52.687000,53.163867,0.91
uint32_t,4,2048,256,99.149667,103.345766,4.23
uint32_t,2,16384,128,404.462667,412.886762,2.08
uint32_t,4,8192,16,33.074000,31.049628,-6.12
uint32_t,4,8192,32,57.642333,56.484592,-2.01
uint32_t,4,4096,128,101.242000,103.281497,2.01
uint32_t,4,16384,8,42.713667,37.781864,-11.55
uint32_t,4,16384,16,66.037667,62.030836,-6.07
