operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,128,1024,128,60.332667,59.861836,-0.78
MATVEC,uint32_t,1,128,1024,256,59.927000,59.651769,-0.46
MATVEC,uint32_t,1,128,2048,8,147.476000,133.956135,-9.17
MATVEC,uint32_t,1,128,2048,16,132.954000,127.018681,-4.46
MATVEC,uint32_t,1,128,2048,32,126.572333,122.683943,-3.07
MATVEC,uint32_t,1,128,2048,64,122.416667,120.649986,-1.44
MATVEC,uint32_t,1,128,2048,128,120.545333,119.629497,-0.76
MATVEC,uint32_t,1,128,2048,256,119.712667,119.209365,-0.42
MATVEC,uint32_t,1,128,4096,8,294.703000,267.818096,-9.12
MATVEC,uint32_t,1,128,4096,16,265.797667,253.943189,-4.46
MATVEC,uint32_t,1,128,4096,32,252.959333,245.273712,-3.04
MATVEC,uint32_t,1,128,4096,64,244.692000,241.205799,-1.42
MATVEC,uint32_t,1,128,4096,128,240.915333,239.164821,-0.73
MATVEC,uint32_t,1,128,4096,256,239.336000,238.324556,-0.42
MATVEC,uint32_t,1,128,8192,8,589.770333,535.542018,-9.19
MATVEC,uint32_t,1,128,8192,16,531.410667,507.792204,-4.44
MATVEC,uint32_t,1,128,8192,32,505.794333,490.453250,-3.03
MATVEC,uint32_t,1,128,8192,64,489.217000,482.317424,-1.41
MATVEC,uint32_t,1,128,8192,128,481.685333,478.235468,-0.72
MATVEC,uint32_t,1,128,8192,256,478.489667,476.554937,-0.40
MATVEC,uint32_t,1,256,16,8,2.544000,2.213927,-12.97
MATVEC,uint32_t,1,256,16,16,2.324000,2.105529,-9.40
MATVEC,uint32_t,1,256,32,8,4.855000,4.305520,-11.32
MATVEC,uint32_t,1,256,32,16,4.401000,4.088725,-7.10
MATVEC,uint32_t,1,256,32,32,4.177333,3.953264,-5.36
MATVEC,uint32_t,1,256,64,8,9.466667,8.488706,-10.33
MATVEC,uint32_t,1,256,64,16,8.545000,8.055116,-5.73
MATVEC,uint32_t,1,256,64,32,8.110333,7.784194,-4.02
MATVEC,uint32_t,1,256,64,64,7.885000,7.657072,-2.89
MATVEC,uint32_t,1,256,128,8,18.671333,16.855079,-9.73
MATVEC,uint32_t,1,256,128,16,16.847000,15.987897,-5.10
MATVEC,uint32_t,1,256,128,32,16.088333,15.446055,-3.99
MATVEC,uint32_t,1,256,128,64,15.551667,15.191810,-2.31
MATVEC,uint32_t,1,256,128,128,15.301333,15.064249,-1.55
MATVEC,uint32_t,1,256,256,8,37.081667,33.587824,-9.42
MATVEC,uint32_t,1,256,256,16,33.454000,31.853461,-4.78
MATVEC,uint32_t,1,256,256,32,31.982333,30.769776,-3.79
MATVEC,uint32_t,1,256,256,64,30.809000,30.261287,-1.78
MATVEC,uint32_t,1,256,256,128,30.349000,30.006165,-1.13
MATVEC,uint32_t,1,256,256,256,30.125667,29.901132,-0.75
MATVEC,uint32_t,1,256,512,8,73.957667,67.053314,-9.34
MATVEC,uint32_t,1,256,512,16,66.659667,63.584588,-4.61
MATVEC,uint32_t,1,256,512,32,63.465333,61.417218,-3.23
MATVEC,uint32_t,1,256,512,64,61.397000,60.400240,-1.62
MATVEC,uint32_t,1,256,512,128,60.440000,59.889996,-0.91
MATVEC,uint32_t,1,256,512,256,60.075667,59.679929,-0.66
MATVEC,uint32_t,1,256,1024,8,147.637667,133.984295,-9.25
MATVEC,uint32_t,1,256,1024,16,133.070667,127.046841,-4.53
MATVEC,uint32_t,1,256,1024,32,126.655333,122.712103,-3.11
MATVEC,uint32_t,1,256,1024,64,122.518000,120.678146,-1.50
MATVEC,uint32_t,1,256,1024,128,120.654000,119.657657,-0.83
MATVEC,uint32_t,1,256,1024,256,119.843000,119.237525,-0.51
MATVEC,uint32_t,1,256,2048,8,294.830333,267.846256,-9.15
MATVEC,uint32_t,1,256,2048,16,265.874333,253.971349,-4.48
MATVEC,uint32_t,1,256,2048,32,253.122333,245.301872,-3.09
MATVEC,uint32_t,1,256,2048,64,244.764667,241.233959,-1.44
MATVEC,uint32_t,1,256,2048,128,241.002333,239.192981,-0.75
MATVEC,uint32_t,1,256,2048,256,239.418667,238.352716,-0.45
MATVEC,uint32_t,1,256,4096,8,589.723333,535.570178,-9.18
MATVEC,uint32_t,1,256,4096,16,531.500667,507.820364,-4.46
MATVEC,uint32_t,1,256,4096,32,505.902000,490.481410,-3.05
MATVEC,uint32_t,1,256,4096,64,489.312000,482.345584,-1.42
MATVEC,uint32_t,1,256,4096,128,481.768000,478.263628,-0.73
MATVEC,uint32_t,1,256,4096,256,478.590667,476.583097,-0.42
MATVEC,uint32_t,1,256,8192,8,1179.486667,1071.018023,-9.20
MATVEC,uint32_t,1,256,8192,16,1062.710333,1015.518393,-4.44
MATVEC,uint32_t,1,256,8192,32,1011.466667,980.840487,-3.03
MATVEC,uint32_t,1,256,8192,64,978.485667,964.568834,-1.42
MATVEC,uint32_t,1,256,8192,128,963.340333,956.404921,-0.72
MATVEC,uint32_t,1,256,8192,256,956.998667,953.043861,-0.41
MATVEC,uint32_t,1,512,16,8,5.064000,4.361840,-13.87
MATVEC,uint32_t,1,512,16,16,4.625667,4.145045,-10.39
MATVEC,uint32_t,1,512,32,8,9.702333,8.545026,-11.93
MATVEC,uint32_t,1,512,32,16,8.775333,8.111436,-7.57
MATVEC,uint32_t,1,512,32,32,8.332333,7.840514,-5.90
MATVEC,uint32_t,1,512,64,8,18.914667,16.911399,-10.59
MATVEC,uint32_t,1,512,64,16,17.079667,16.044217,-6.06
MATVEC,uint32_t,1,512,64,32,16.188333,15.502375,-4.24
MATVEC,uint32_t,1,512,64,64,15.758000,15.248130,-3.24
MATVEC,uint32_t,1,512,128,8,37.337000,33.644144,-9.89
MATVEC,uint32_t,1,512,128,16,33.699000,31.909781,-5.31
MATVEC,uint32_t,1,512,128,32,32.090333,30.826096,-3.94
MATVEC,uint32_t,1,512,128,64,31.284333,30.317607,-3.09
MATVEC,uint32_t,1,512,128,128,30.586333,30.062485,-1.71
MATVEC,uint32_t,1,512,256,8,74.137333,67.109634,-9.48
MATVEC,uint32_t,1,512,256,16,66.877000,63.640908,-4.84
MATVEC,uint32_t,1,512,256,32,64.034000,61.473538,-4.00
MATVEC,uint32_t,1,512,256,64,61.609000,60.456560,-1.87
MATVEC,uint32_t,1,512,256,128,60.692000,59.946316,-1.23
MATVEC,uint32_t,1,512,256,256,60.236667,59.736249,-0.83
MATVEC,uint32_t,1,512,512,8,147.850667,134.040615,-9.34
MATVEC,uint32_t,1,512,512,16,133.354333,127.103161,-4.69
MATVEC,uint32_t,1,512,512,32,127.021333,122.768423,-3.35
MATVEC,uint32_t,1,512,512,64,122.796333,120.734466,-1.68
MATVEC,uint32_t,1,512,512,128,120.885667,119.713977,-0.97
MATVEC,uint32_t,1,512,512,256,120.170000,119.293845,-0.73
MATVEC,uint32_t,1,512,1024,8,295.275000,267.902576,-9.27
MATVEC,uint32_t,1,512,1024,16,266.180667,254.027669,-4.57
MATVEC,uint32_t,1,512,1024,32,253.407667,245.358192,-3.18
MATVEC,uint32_t,1,512,1024,64,245.026000,241.290279,-1.52
MATVEC,uint32_t,1,512,1024,128,241.264667,239.249301,-0.84
MATVEC,uint32_t,1,512,1024,256,239.690667,238.409036,-0.53
MATVEC,uint32_t,1,512,2048,8,590.076333,535.626498,-9.23
MATVEC,uint32_t,1,512,2048,16,531.634333,507.876684,-4.47
MATVEC,uint32_t,1,512,2048,32,506.221667,490.537730,-3.10
MATVEC,uint32_t,1,512,2048,64,489.596667,482.401904,-1.47
MATVEC,uint32_t,1,512,2048,128,481.979000,478.319948,-0.76
MATVEC,uint32_t,1,512,2048,256,478.806667,476.639417,-0.45
MATVEC,uint32_t,1,512,4096,8,1179.483667,1071.074343,-9.19
MATVEC,uint32_t,1,512,4096,16,1062.864000,1015.574713,-4.45
MATVEC,uint32_t,1,512,4096,32,1012.299667,980.896807,-3.10
MATVEC,uint32_t,1,512,4096,64,978.551667,964.625154,-1.42
MATVEC,uint32_t,1,512,4096,128,963.410667,956.461241,-0.72
MATVEC,uint32_t,1,512,4096,256,957.246000,953.100181,-0.43
MATVEC,uint32_t,1,512,8192,8,2358.183000,2141.970032,-9.17
MATVEC,uint32_t,1,512,8192,16,2125.280667,2030.970773,-4.44
MATVEC,uint32_t,1,512,8192,32,2023.115000,1961.614960,-3.04
MATVEC,uint32_t,1,512,8192,64,1956.749000,1929.071655,-1.41
MATVEC,uint32_t,1,512,8192,128,1926.531333,1912.743829,-0.72
MATVEC,uint32_t,1,512,8192,256,1913.557000,1906.021708,-0.39
MATVEC,uint32_t,1,1024,16,8,10.051667,8.657666,-13.87
MATVEC,uint32_t,1,1024,16,16,9.176333,8.224076,-10.38
MATVEC,uint32_t,1,1024,32,8,19.316667,17.024039,-11.87
MATVEC,uint32_t,1,1024,32,16,17.465333,16.156857,-7.49
MATVEC,uint32_t,1,1024,32,32,16.602333,15.615015,-5.95
MATVEC,uint32_t,1,1024,64,8,37.770667,33.756784,-10.63
MATVEC,uint32_t,1,1024,64,16,34.089000,32.022421,-6.06
MATVEC,uint32_t,1,1024,64,32,32.300667,30.938736,-4.22
MATVEC,uint32_t,1,1024,64,64,31.436667,30.430247,-3.20
MATVEC,uint32_t,1,1024,128,8,74.581667,67.222274,-9.87
MATVEC,uint32_t,1,1024,128,16,67.305667,63.753548,-5.28
MATVEC,uint32_t,1,1024,128,32,64.112333,61.586178,-3.94
MATVEC,uint32_t,1,1024,128,64,62.106333,60.569200,-2.48
MATVEC,uint32_t,1,1024,128,128,61.087000,60.058956,-1.68
MATVEC,uint32_t,1,1024,256,8,148.234667,134.153255,-9.50
MATVEC,uint32_t,1,1024,256,16,133.733667,127.215801,-4.87
MATVEC,uint32_t,1,1024,256,32,127.908667,122.881063,-3.93
MATVEC,uint32_t,1,1024,256,64,123.151333,120.847106,-1.87
MATVEC,uint32_t,1,1024,256,128,121.304667,119.826617,-1.22
MATVEC,uint32_t,1,1024,256,256,120.391667,119.406485,-0.82
MATVEC,uint32_t,1,1024,512,8,295.498667,268.015216,-9.30
MATVEC,uint32_t,1,1024,512,16,266.504000,254.140309,-4.64
MATVEC,uint32_t,1,1024,512,32,253.897000,245.470832,-3.32
MATVEC,uint32_t,1,1024,512,64,245.448333,241.402919,-1.65
MATVEC,uint32_t,1,1024,512,128,241.691333,239.361941,-0.96
MATVEC,uint32_t,1,1024,512,256,240.188333,238.521676,-0.69
MATVEC,uint32_t,1,1024,1024,8,590.348667,535.739138,-9.25
MATVEC,uint32_t,1,1024,1024,16,532.211333,507.989324,-4.55
MATVEC,uint32_t,1,1024,1024,32,506.922333,490.650370,-3.21
MATVEC,uint32_t,1,1024,1024,64,489.974333,482.514544,-1.52
MATVEC,uint32_t,1,1024,1024,128,482.460333,478.432588,-0.83
MATVEC,uint32_t,1,1024,1024,256,479.211333,476.752057,-0.51
MATVEC,uint32_t,1,1024,2048,8,1179.714333,1071.186983,-9.20
MATVEC,uint32_t,1,1024,2048,16,1063.495000,1015.687353,-4.50
MATVEC,uint32_t,1,1024,2048,32,1012.761667,981.009447,-3.14
MATVEC,uint32_t,1,1024,2048,64,979.081333,964.737794,-1.46
MATVEC,uint32_t,1,1024,2048,128,964.010000,956.573881,-0.77
MATVEC,uint32_t,1,1024,2048,256,957.594000,953.212821,-0.46
MATVEC,uint32_t,1,1024,4096,8,2358.150000,2142.082672,-9.16
MATVEC,uint32_t,1,1024,4096,16,2126.188667,2031.083413,-4.47
MATVEC,uint32_t,1,1024,4096,32,2021.647667,1961.727600,-2.96
MATVEC,uint32_t,1,1024,4096,64,1958.431333,1929.184295,-1.49
MATVEC,uint32_t,1,1024,4096,128,1925.324333,1912.856469,-0.65
MATVEC,uint32_t,1,1024,4096,256,1913.382333,1906.134348,-0.38
MATVEC,uint32_t,1,1024,8192,8,4710.534000,4283.874050,-9.06
MATVEC,uint32_t,1,1024,8192,16,4247.768667,4061.875532,-4.38
MATVEC,uint32_t,1,1024,8192,32,4052.625000,3923.163906,-3.19
MATVEC,uint32_t,1,1024,8192,64,3922.231667,3858.077296,-1.64
