data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint32_t,2,256,64,13.710333,13.672488,-0.28
uint32_t,2,512,8,3.681333,3.665524,-0.43
uint32_t,2,256,128,27.227667,27.159665,-0.25
uint16_t,16,16384,64,1257.500667,1245.118581,-0.98
uint32_t,2,512,16,7.078333,7.048820,-0.42
uint32_t,2,512,32,13.818333,13.788349,-0.22
uint32_t,2,512,64,27.340667,27.275742,-0.24
uint32_t,1,16384,32,439.863333,439.079550,-0.18
uint32_t,2,1024,8,7.292667,7.261812,-0.42
uint32_t,2,512,128,54.368667,54.250097,-0.22
uint32_t,2,1024,16,14.099000,14.028404,-0.50
uint32_t,2,1024,32,27.569667,27.507462,-0.23
uint32_t,2,2048,8,14.506000,14.454388,-0.36
uint32_t,2,1024,64,54.594333,54.482252,-0.21
uint32_t,2,2048,16,28.113667,27.987572,-0.45
uint32_t,2,1024,128,108.665333,108.430961,-0.22
uint32_t,2,2048,32,55.050000,54.945688,-0.19
uint32_t,2,4096,8,28.920667,28.839540,-0.28
uint32_t,1,8192,128,868.356333,866.961754,-0.16
uint32_t,2,2048,64,109.110667,108.895272,-0.20
uint32_t,2,4096,16,56.124000,55.905908,-0.39
uint32_t,2,4096,32,110.072667,109.822141,-0.23
uint32_t,2,8192,8,57.750333,57.609844,-0.24
uint32_t,2,2048,128,217.195000,216.792689,-0.19
uint32_t,2,8192,16,112.190000,111.742580,-0.40
uint32_t,1,16384,64,872.205667,870.676241,-0.18
uint32_t,2,4096,64,218.112333,217.721310,-0.18
uint32_t,2,16384,8,115.419333,115.150452,-0.23
uint32_t,2,8192,32,220.000000,219.575046,-0.19
uint32_t,2,4096,128,434.336000,433.516145,-0.19
uint32_t,2,16384,16,224.273333,223.415924,-0.38
uint32_t,4,128,8,0.987333,0.970912,-1.66
uint32_t,4,128,16,1.963333,1.816737,-7.47
uint32_t,4,128,32,3.524333,3.501617,-0.64
uint32_t,4,128,64,6.880333,6.873466,-0.10
uint32_t,2,8192,64,436.098000,435.373388,-0.17
uint32_t,4,128,128,13.655667,13.617054,-0.28
uint32_t,4,256,8,1.887667,1.869984,-0.94
uint32_t,4,256,16,3.589667,3.561633,-0.78
uint32_t,4,256,32,6.951333,6.931395,-0.29
uint32_t,4,256,64,13.714333,13.675093,-0.29
uint32_t,2,16384,32,439.918667,439.080856,-0.19
uint32_t,4,256,128,27.228333,27.162270,-0.24
uint32_t,4,512,8,3.693333,3.668128,-0.68
uint32_t,4,512,16,7.101333,7.051425,-0.70
uint32_t,4,512,32,13.826000,13.790952,-0.25
uint32_t,4,512,64,27.342333,27.278348,-0.23
uint32_t,4,1024,8,7.299333,7.264416,-0.48
uint32_t,4,512,128,54.373667,54.252702,-0.22
uint32_t,4,1024,16,14.095333,14.031009,-0.46
uint32_t,4,1024,32,27.578667,27.510065,-0.25
uint32_t,4,2048,8,14.493667,14.456992,-0.25
uint32_t,4,1024,64,54.604333,54.484858,-0.22
uint32_t,4,2048,16,28.115667,27.990177,-0.45
uint32_t,4,1024,128,108.637000,108.433566,-0.19
uint32_t,4,2048,32,55.078667,54.948291,-0.24
uint32_t,2,8192,128,868.414333,866.963057,-0.17
uint32_t,1,16384,128,1736.548667,1733.855578,-0.16
uint32_t,4,4096,8,28.924667,28.842144,-0.29
uint32_t,4,2048,64,109.127667,108.897877,-0.21
uint32_t,4,4096,16,56.148667,55.908513,-0.43
uint32_t,4,8192,8,57.751000,57.612448,-0.24
uint32_t,4,4096,32,110.072000,109.824744,-0.22
uint32_t,4,2048,128,217.176667,216.795294,-0.18
uint32_t,2,16384,64,872.192333,870.677544,-0.17
uint32_t,4,8192,16,112.186000,111.745185,-0.39
uint32_t,4,4096,64,218.136000,217.723916,-0.19
uint32_t,4,16384,8,115.463333,115.153056,-0.27
uint32_t,4,8192,32,219.959000,219.577649,-0.17
uint32_t,4,16384,16,224.265667,223.418529,-0.38
uint32_t,4,4096,128,434.289000,433.518750,-0.18
uint32_t,8,128,8,0.996333,0.976334,-2.01
uint32_t,8,128,16,1.851000,1.821967,-1.57
uint32_t,8,128,32,3.534667,3.507178,-0.78
uint32_t,8,128,64,6.905333,6.878996,-0.38
uint32_t,4,8192,64,436.247333,435.375994,-0.20
uint32_t,8,128,128,13.658000,13.622675,-0.26
uint32_t,8,256,8,1.902000,1.875543,-1.39
uint32_t,8,256,16,3.598000,3.566872,-0.87
uint32_t,8,256,32,6.970667,6.937200,-0.48
uint32_t,8,256,64,13.720667,13.680857,-0.29
uint32_t,8,256,128,27.241667,27.168124,-0.27
uint32_t,8,512,8,3.701000,3.673962,-0.73
uint32_t,4,16384,32,439.970333,439.083459,-0.20
uint32_t,8,512,16,7.109000,7.056683,-0.74
uint32_t,8,512,32,13.844000,13.797244,-0.34
uint32_t,8,1024,8,7.299333,7.270798,-0.39
uint32_t,8,512,64,27.370667,27.284579,-0.31
uint32_t,8,1024,16,14.124667,14.036305,-0.63
uint32_t,8,512,128,54.367667,54.259024,-0.20
uint32_t,8,1024,32,27.595333,27.517331,-0.28
uint32_t,8,2048,8,14.534000,14.464471,-0.48
uint32_t,8,1024,64,54.618333,54.492022,-0.23
uint32_t,2,16384,128,1736.862667,1733.856881,-0.17
uint32_t,8,2048,16,28.126667,27.995548,-0.47
uint32_t,8,1024,128,108.665000,108.440822,-0.21
uint32_t,8,2048,32,55.087333,54.957507,-0.24
uint32_t,8,4096,8,28.976333,28.851818,-0.43
uint32_t,4,8192,128,868.403333,866.965662,-0.17
uint32_t,8,2048,64,109.160667,108.906908,-0.23
uint32_t,8,4096,16,56.148333,55.914035,-0.42
uint32_t,8,4096,32,110.118333,109.837859,-0.25
uint32_t,8,8192,8,57.850000,57.626510,-0.39
uint32_t,4,16384,64,872.139667,870.680149,-0.17
uint32_t,8,2048,128,217.229000,216.804419,-0.20
uint32_t,8,8192,16,112.207000,111.751009,-0.41
uint32_t,8,4096,64,218.132000,217.736681,-0.18
uint32_t,8,16384,8,115.541000,115.175895,-0.32
uint32_t,8,8192,32,220.081000,219.598561,-0.22
uint32_t,8,4096,128,434.215000,433.531612,-0.16
uint32_t,8,16384,16,224.294000,223.424956,-0.39
uint32_t,16,128,8,1.401000,1.356769,-3.16
uint32_t,16,128,16,2.627333,2.574961,-1.99
uint32_t,16,128,32,5.069000,4.971859,-1.92
uint32_t,16,128,64,9.937667,9.828024,-1.10
uint32_t,8,8192,64,436.212000,435.396227,-0.19
uint32_t,16,256,8,2.693333,2.616344,-2.86
uint32_t,16,128,128,19.690333,19.550348,-0.71
uint32_t,16,256,16,5.137333,5.050557,-1.69
uint32_t,16,256,32,10.016000,9.832435,-1.83
uint32_t,16,256,64,19.768667,19.554091,-1.09
uint32_t,16,512,8,5.269333,5.135493,-2.54
uint32_t,16,256,128,39.285667,38.987506,-0.76
uint32_t,16,512,16,10.137667,10.001748,-1.34
uint32_t,8,16384,32,440.068333,439.119967,-0.22
uint32_t,16,512,32,19.901333,19.553589,-1.75
uint32_t,16,1024,8,10.393667,10.173793,-2.12
uint32_t,16,1024,16,20.164333,19.904130,-1.29
uint32_t,16,512,64,39.424000,39.006224,-1.06
uint32_t,16,1024,32,39.672667,38.995895,-1.71
uint32_t,16,512,128,78.433000,77.861822,-0.73
uint32_t,16,2048,8,20.687000,20.250392,-2.11
uint32_t,16,1024,64,78.702667,77.910492,-1.01
uint32_t,16,2048,16,40.204000,39.708895,-1.23
uint32_t,4,16384,128,1736.852667,1733.859486,-0.17
uint32_t,16,2048,32,79.231667,77.880508,-1.71
uint32_t,16,1024,128,156.776333,155.610454,-0.74
uint32_t,16,4096,8,41.245333,40.403589,-2.04
uint32_t,16,2048,64,157.259667,155.719027,-0.98
uint32_t,16,4096,16,80.281000,79.318424,-1.20
uint32_t,8,8192,128,868.406333,866.985999,-0.16
uint32_t,16,4096,32,158.304667,155.649735,-1.68
uint32_t,16,8192,8,82.343667,80.709985,-1.98
uint32_t,8,16384,64,872.218333,870.715318,-0.17
