data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint64_t,4,1024,16,74.043000,72.147562,-2.56
uint64_t,4,512,128,294.141000,287.338547,-2.31
uint64_t,4,1024,32,147.502333,143.921951,-2.43
uint64_t,4,2048,8,74.493000,72.468799,-2.72
uint64_t,4,1024,64,294.397000,287.466675,-2.35
uint64_t,4,2048,16,147.971333,144.223411,-2.53
uint64_t,2,16384,32,2357.865333,2301.656858,-2.38
uint64_t,4,1024,128,588.177333,574.604947,-2.31
uint64_t,4,2048,32,294.839333,287.772154,-2.40
uint64_t,4,4096,8,148.875000,144.865849,-2.69
uint64_t,4,4096,16,295.820333,288.375109,-2.52
uint64_t,4,2048,64,588.641000,574.861637,-2.34
uint64_t,4,4096,32,589.597667,575.472561,-2.40
uint64_t,4,2048,128,1176.321333,1149.137746,-2.31
uint64_t,4,8192,8,297.618667,289.659949,-2.67
uint64_t,4,4096,64,1177.187667,1149.651562,-2.34
