operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,32,16,512,4,196.739667,184.850816,-6.04
MATMUL,uint32_t,1,32,16,512,8,166.737000,156.402925,-6.20
MATMUL,uint32_t,1,16,512,512,4,3032.264333,2846.386459,-6.13
MATMUL,uint32_t,1,32,32,16,4,12.097667,11.405476,-5.72
MATMUL,uint32_t,1,32,32,16,8,10.345667,9.712859,-6.12
MATMUL,uint32_t,1,32,16,512,16,154.345667,145.433252,-5.77
MATMUL,uint32_t,1,32,32,16,16,9.600333,9.069348,-5.53
MATMUL,uint32_t,1,16,512,512,64,2306.881667,2168.499812,-6.00
MATMUL,uint32_t,1,32,32,32,8,20.644000,19.346633,-6.28
MATMUL,uint32_t,1,32,32,32,4,24.179333,22.731867,-5.99
MATMUL,uint32_t,1,16,512,512,32,2341.788333,2203.047414,-5.92
MATMUL,uint32_t,1,16,512,512,8,2597.615667,2433.566710,-6.32
MATMUL,uint32_t,1,16,512,512,128,2287.223667,2151.762916,-5.92
MATMUL,uint32_t,1,16,512,512,16,2418.231333,2278.930422,-5.76
MATMUL,uint32_t,1,32,32,32,16,19.168000,18.059611,-5.78
MATMUL,uint32_t,1,32,32,32,32,18.506000,17.426395,-5.83
MATMUL,uint32_t,1,32,32,64,8,41.180333,38.614180,-6.23
MATMUL,uint32_t,1,32,32,64,4,48.234000,45.384649,-5.91
MATMUL,uint32_t,1,32,32,64,16,38.245667,36.040137,-5.77
MATMUL,uint32_t,1,32,32,64,32,36.940000,34.773705,-5.86
MATMUL,uint32_t,1,16,512,512,256,2279.020000,2144.260800,-5.91
MATMUL,uint32_t,1,32,32,128,8,82.268333,77.149275,-6.22
MATMUL,uint32_t,1,32,32,128,16,76.435333,72.001188,-5.80
MATMUL,uint32_t,1,32,32,128,4,96.422667,90.690212,-5.95
MATMUL,uint32_t,1,32,32,128,32,73.819000,69.468324,-5.89
MATMUL,uint32_t,1,32,32,256,16,152.711000,143.923291,-5.75
MATMUL,uint32_t,1,32,32,256,8,164.504667,154.219465,-6.25
MATMUL,uint32_t,1,32,32,256,4,192.720333,181.301339,-5.93
