operation,data_type,thread,iteration,vec_length,n_length,buffer_size,latency,correct
MATMUL,uint32_t,1,64,256,128,4,1518.508667,True
MATMUL,uint32_t,1,64,256,256,8,2599.843667,True
MATMUL,uint32_t,1,64,256,256,4,3035.414667,True
MATMUL,uint32_t,1,64,256,256,256,2280.023333,True
MATMUL,uint32_t,1,64,256,256,64,2307.875,True
MATMUL,uint32_t,1,64,256,256,128,2288.270667,True
MATMUL,uint32_t,1,64,256,256,32,2343.588667,True
MATMUL,uint32_t,1,64,256,256,16,2420.062333,True
MATMUL,uint32_t,1,64,512,16,4,379.086,True
MATMUL,uint32_t,1,64,512,16,8,324.727667,True
MATMUL,uint32_t,1,64,512,16,16,302.355333,True
MATMUL,uint32_t,1,64,512,32,4,757.730333,True
MATMUL,uint32_t,1,64,512,32,8,649.515,True
MATMUL,uint32_t,1,64,512,32,16,604.652,True
MATMUL,uint32_t,1,64,256,512,4,6070.285,True
MATMUL,uint32_t,1,64,512,32,32,585.480333,True
MATMUL,uint32_t,1,64,256,512,8,5199.999333,True
MATMUL,uint32_t,1,64,256,512,128,4577.597,True
MATMUL,uint32_t,1,64,256,512,256,4558.848333,True
MATMUL,uint32_t,1,64,256,512,16,4840.284,True
MATMUL,uint32_t,1,64,256,512,64,4615.625333,True
MATMUL,uint32_t,1,64,256,512,32,4686.244,True
MATMUL,uint32_t,1,64,512,64,4,1516.140667,True
MATMUL,uint32_t,1,64,512,64,8,1298.621667,True
MATMUL,uint32_t,1,64,512,64,64,1153.459667,True
MATMUL,uint32_t,1,64,512,64,16,1209.563333,True
MATMUL,uint32_t,1,64,512,64,32,1170.762667,True
MATMUL,uint32_t,1,64,512,128,16,2418.385,True
MATMUL,uint32_t,1,64,512,128,8,2597.680333,True
MATMUL,uint32_t,1,64,512,128,4,3030.956333,True
MATMUL,uint32_t,1,64,512,128,32,2341.934,True
MATMUL,uint32_t,1,64,512,128,64,2306.849,True
MATMUL,uint32_t,1,64,512,128,128,2287.528333,True
MATMUL,uint32_t,1,64,512,256,8,5194.364,True
MATMUL,uint32_t,1,64,512,256,4,6074.168,True
MATMUL,uint32_t,1,64,512,256,32,4684.988,True
MATMUL,uint32_t,1,64,512,256,16,4837.476667,True
MATMUL,uint32_t,1,64,512,256,64,4613.650667,True
MATMUL,uint32_t,1,64,512,256,128,4574.699,True
MATMUL,uint32_t,1,64,512,256,256,4556.916667,True
MATMUL,uint32_t,1,128,16,16,4,24.741333,True
