data_type,thread,iteration,buffer_size,latency,correct
uint32_t,2,1024,64,13.365333,True
uint32_t,2,2048,8,5.340667,True
uint32_t,2,2048,16,8.098667,True
uint32_t,2,1024,128,25.338667,True
uint32_t,1,8192,256,396.234,True
uint32_t,2,2048,32,14.324333,True
uint32_t,2,1024,256,49.600667,True
uint32_t,2,2048,64,26.372667,True
uint32_t,2,4096,8,10.580667,True
uint32_t,2,4096,16,16.098667,True
uint32_t,1,16384,128,404.486333,True
uint32_t,2,2048,128,50.616333,True
uint32_t,2,4096,32,28.516,True
uint32_t,2,4096,64,52.687,True
uint32_t,2,2048,256,99.145,True
uint32_t,2,8192,8,20.756,True
uint32_t,2,8192,16,32.145333,True
uint32_t,2,8192,32,56.914667,True
uint32_t,2,4096,128,101.174667,True
uint32_t,2,16384,8,41.463667,True
uint32_t,2,8192,64,105.300333,True
uint32_t,2,16384,16,64.215,True
uint32_t,2,4096,256,198.202667,True
uint32_t,2,16384,32,113.862667,True
uint32_t,2,16384,256,NA,False
uint32_t,4,256,8,0.717667,True
uint32_t,2,8192,128,202.227667,True
uint32_t,4,256,16,1.092,True
uint32_t,4,256,32,1.876667,True
uint32_t,4,256,64,3.349,True
uint32_t,4,512,8,1.391,True
uint32_t,4,256,128,6.389667,True
uint32_t,4,512,16,2.113667,True
uint32_t,1,16384,256,792.429333,True
uint32_t,4,256,256,12.466333,True
uint32_t,4,512,32,3.676333,True
uint32_t,4,512,64,6.645667,True
uint32_t,4,1024,8,2.719333,True
uint32_t,2,16384,64,210.489333,True
uint32_t,4,512,128,12.720333,True
uint32_t,4,1024,16,4.172667,True
uint32_t,4,512,256,24.861333,True
uint32_t,4,1024,32,7.260667,True
uint32_t,4,1024,64,13.225,True
uint32_t,4,2048,8,5.374667,True
uint32_t,4,2048,16,8.388,True
uint32_t,4,1024,128,25.365,True
uint32_t,4,2048,32,14.421333,True
uint32_t,2,8192,256,396.353333,True
uint32_t,4,1024,256,49.641333,True
uint32_t,4,2048,64,26.374,True
uint32_t,4,4096,8,10.709,True
uint32_t,4,4096,16,16.557667,True
uint32_t,4,2048,128,50.653,True
uint32_t,4,4096,32,28.788,True
